   2 Pallas     2pallas1       1987-03-23  9.0   7.27 -19 114 2.77 2.20 1.08 0.52 1.00 0.57 3,9   
   2 Pallas     2pallas2       1987-05-03  8.8   6.67 -15 134 2.87 2.07 1.13 0.46 0.80 0.57 3     
   2 Pallas     2pallas3       1988-05-22 10.1   5.00 -17 100 3.41 3.09 1.04 0.63 0.97 0.80 11,6  
   2 Pallas     2pallas4       1987-06-30  9.4   2.00  18 115 3.00 2.42 1.05 0.34 0.60 0.57 11    
   5 Astraea    5astraea1      1987-04-03 10.4  19.50  26 115 2.09 1.47 1.10 0.53 1.00 0.57 3,11  
   5 Astraea    5astraea2      1986-11-25 10.6  24.00 -26 109 2.13 1.60 1.06 0.73 1.03 9.99 3,11  
   9 Metis      9metis1        1983-12-25 10.7  12.00 -25  92 2.31 2.05 1.16 0.72 1.02 9.99 5     
   9 Metis      9metis2        1986-11-26  8.3   4.00  -1 177 2.10 1.11 1.02 0.73 1.03 9.99 3,11  
   9 Metis      9metis3        1986-12-26  9.0   3.75  15 146 2.10 1.21 1.16 0.51 0.99 0.57 3     
  10 Hygiea     10hygiea       1990-07-07 10.9   4.00 -18 111 3.13 2.62 1.16 0.51 0.99 0.57 11    
  13 Egeria     13egeria       1990-07-11 11.4   6.00 -17 126 2.79 2.07 1.95 0.51 0.99 0.57 1     
  14 Irene      14irene1       1986-12-20 11.0  13.50  16 130 2.81 2.08 1.09 0.51 0.99 0.57 3     
  14 Irene      14irene2       1986-12-24 11.1  15.00  17 125 2.80 2.11 1.22 0.51 0.99 0.57 3     
  19 Fortuna    19fortuna1     1986-11-23  9.1   8.50   2 177 2.08 1.10 1.05 0.73 1.03 0.80 11    
  19 Fortuna    19fortuna2     1986-11-25  9.2  10.00   3 174 2.08 1.10 1.03 0.73 1.03 0.80 3,11  
  19 Fortuna    19fortuna3     1986-12-20 10.1  10.00  16 145 2.11 1.23 1.03 0.51 0.99 0.57 3     
  19 Fortuna    19fortuna4     1986-12-24 10.2   7.50  17 140 2.11 1.26 1.09 0.51 0.99 0.57 3     
  20 Massalia   20massalia1    1983-09-15 10.0   4.00 -16 140 2.34 1.48 1.07 0.74 1.03 0.80 1,3   
  20 Massalia   20massalia2    1983-09-16  9.9   5.00 -16 141 2.34 1.47 1.08 0.74 1.03 0.80 1,3   
  20 Massalia   20massalia3    1983-09-19  9.9   4.00 -15 144 2.33 1.44 1.23 0.74 1.03 0.80 3     
  27 Euterpe    27euterpe1     1986-12-24 10.1   4.75  25 123 1.99 1.27 1.10 0.51 0.99 0.57 3     
  27 Euterpe    27euterpe2     1986-12-20 10.0   4.33  23 127 1.99 1.24 1.06 0.51 0.99 0.57 3     
  27 Euterpe    27euterpe3     1986-11-23  9.4   7.33  11 156 2.02 1.08 1.13 0.73 1.03 9.99 11    
  30 Urania     30urania       1987-03-20 11.6  24.00  20 123 2.42 1.73 1.34 0.52 1.00 0.57 3,9   
  34 Circe      34circe        1987-03-20 11.5  30.00  -3 172 2.43 1.44 1.25 0.52 1.00 0.57 3,9   
  41 Daphne     41daphne       1990-07-07 10.4   4.00  12 153 2.24 1.28 1.14 0.51 0.99 0.57 11    
  44 Nysa       44nysa         1990-07-11 11.3   9.00 -16 131 2.73 1.96 1.33 0.51 0.99 0.57 11    
  45 Eugenia    45eugenia      1987-03-22 11.5  60.00 -19 124 2.51 1.82 1.35 0.52 1.00 0.57 3,9   
  48 Doris      48doris        1987-04-05 11.7  30.00  -6 160 3.21 2.26 1.31 0.53 1.00 0.57 3,11  
  51 Nemausa    51nemausa1     1983-09-15 10.4   8.00  -1 178 2.52 1.52 1.41 0.74 1.03 0.80 1,3   
  51 Nemausa    51nemausa2     1983-09-19 10.5   8.00   2 176 2.52 1.52 1.20 0.74 1.03 9.99 3     
  51 Nemausa    51nemausa3     1989-04-17 10.7  10.00  17 141 2.21 1.34 1.09 0.52 1.00 0.57 4     
  51 Nemausa    51nemausa4     1990-07-07 11.4   7.50 -17 136 2.46 1.63 1.19 0.51 0.99 0.57 11    
  51 Nemausa    51nemausa5     1990-07-09 11.3   7.50 -16 138 2.47 1.61 1.23 0.51 0.99 0.57 11    
  51 Nemausa    51nemausa6     1989-04-16 10.7  10.00  16 142 2.21 1.33 1.09 0.52 1.00 0.57 4     
  52 Europa     52europa1      1989-04-15 11.0  16.00  12 141 2.98 2.14 1.08 0.52 1.00 0.57 6     
  52 Europa     52europa2      1989-04-15 11.0  20.00  12 141 2.98 2.14 1.09 0.52 1.00 0.57 6     
  52 Europa     52europa3      1990-07-07 11.6   5.00  11 139 3.36 2.52 1.45 0.51 0.99 0.57 11    
  54 Alexandra  54alexandra1   1983-09-16 10.8  12.00  13 150 2.25 1.33 2.06 0.74 1.03 0.80 1,3   
  54 Alexandra  54alexandra2   1983-09-18 10.9  12.00  14 147 2.25 1.34 1.29 0.74 1.03 0.80 3     
  54 Alexandra  54alexandra3   1988-10-05 11.9   8.00 -13 142 2.66 1.80 1.01 0.38 0.64 0.57 12    
  57 Mnemosyne  57mnemosyne    1988-10-05 10.9   3.00  -3 172 2.84 1.84 1.08 0.38 0.64 0.57 12    
  63 Ausonia    63ausonia      1987-03-22 11.0  33.50  11 151 2.46 1.54 1.08 0.52 1.00 0.57 3,9   
  64 Angelina   64angelina     1990-07-09 12.4  10.00 -15 129 3.01 2.26 1.29 0.51 0.99 0.57 11    
  65 Cybele     65cybele       1990-07-09 12.5  17.00 -17 109 3.31 2.83 1.24 0.51 0.99 0.57 11    
  70 Panopaea   70panopaea     1988-05-22 10.7  10.00  -3 172 2.30 1.30 1.90 0.63 0.97 9.99 14    
  72 Feronia    72feronia      1987-03-03 12.2  12.00   4 171 2.50 1.52 1.13 0.50 1.00 0.57 2,3,6 
  85 Io         85io           1990-07-07 10.7   5.50 -16 145 2.18 1.26 1.17 0.51 0.99 0.57 11    
  87 Sylvia     87sylvia       1990-07-09 12.0  10.00   7 155 3.41 2.46 1.92 0.51 0.99 0.57 10    
  91 Aegina     91aegina       1990-07-11 12.8  17.00   4 169 2.84 1.84 1.90 0.51 0.99 0.57 1     
  93 Minerva    93minerva      1989-04-16 12.3  25.00  15 135 2.78 1.98 1.08 0.52 1.00 0.57 4     
  95 Arethusa   95arethusa     1990-07-09 12.9  18.00 -18 118 2.84 2.23 1.10 0.51 0.99 0.57 11    
  98 Ianthe     98ianthe       1987-04-03 11.6  26.00   4 170 2.26 1.26 1.33 0.53 1.00 0.57 3,11  
 107 Camilla    107camilla     1990-07-08 12.6  10.00  -4 165 3.78 2.79 1.32 0.51 0.99 0.57 11    
 111 Ate        111ate1        1983-09-19 12.0  20.00   8 159 2.74 1.78 1.24 0.74 1.03 0.80 3     
 111 Ate        111ate2        1988-10-04 12.4   9.00 -23 111 2.43 1.88 1.00 0.38 0.64 0.57 3     
 127 Johanna    127johanna     1990-07-12 12.9  16.00  -8 155 2.93 1.98 1.98 0.51 0.99 0.57 10    
 128 Nemesis    128nemesis     1990-07-11 11.9  12.00 -21 118 2.50 1.86 1.37 0.51 0.99 0.57 11    
 130 Elektra    130elektra     1990-07-09 13.2  18.00  15 107 3.64 3.20 1.31 0.51 0.99 0.57 11    
 137 Meliboea   137meliboea    1990-07-08 13.0  10.00  20 114 2.74 2.16 1.30 0.51 0.99 0.57 11    
 148 Gallia     148gallia      1990-07-08 11.8   9.00  -9 154 2.80 1.84 1.17 0.51 0.99 0.57 11    
