0.330 0.0300   .69 .16
0.340 0.0220   .60 .10
0.355 0.0300   .61 .09
0.400 0.0245   .86 .05
0.430 0.0260   .84 .03
0.470 0.0252   .93 .03
0.500 0.0258   .94 .03
0.540 0.0265   .98 .03
0.570 0.0270  1.00 .03
0.600 0.0285   .98 .03
0.635 0.0295  1.00 .03
0.670 0.0245   .97 .03
0.700 0.0255   .97 .03
0.730 0.0265  1.00 .04
0.765 0.0275   .97 .03
0.800 0.0285   .96 .05
0.830 0.0295   .93 .05
0.870 0.0240   .95 .08
0.900 0.0250  1.00 .08
0.950 0.0510   .82 .14
1.000 0.0280  1.10 .12
