0.330 0.0300  1.73 .16
0.360 0.0250  1.19 .13
0.380 0.0250   .92 .06
0.400 0.0245   .77 .05
0.435 0.0250   .77 .05
0.470 0.0252   .88 .03
0.500 0.0258   .92 .03
0.540 0.0265   .89 .05
0.570 0.0270   .99 .04
0.600 0.0285  1.11 .04
0.630 0.0250  1.02 .04
0.670 0.0245   .95 .04
0.700 0.0255   .85 .04
0.735 0.0250   .96 .05
0.765 0.0275   .85 .04
0.800 0.0285   .95 .04
0.830 0.0295   .89 .04
0.875 0.0250   .97 .05
