0.330 0.0300   .48 .14
0.355 0.0300   .68 .19
0.400 0.0245   .75 .10
0.430 0.0260   .64 .07
0.470 0.0252   .84 .03
0.500 0.0258   .84 .03
0.540 0.0265   .94 .04
0.570 0.0270  1.00 .06
0.600 0.0285  1.18 .08
0.635 0.0295  1.14 .03
0.670 0.0245  1.09 .04
0.700 0.0255  1.29    
0.730 0.0265  1.24 .12
0.765 0.0275  1.16 .14
0.800 0.0285   .95 .15
0.830 0.0295  1.      
