0.330 0.0300   .62 .03
0.355 0.0300   .68 .03
0.400 0.0245   .76 .03
0.430 0.0260   .80 .03
0.470 0.0252   .86 .03
0.500 0.0258   .89 .03
0.540 0.0265   .96 .03
0.570 0.0270  1.00 .03
0.600 0.0285  1.01 .03
0.635 0.0295  1.04 .03
0.670 0.0245  1.09 .03
0.700 0.0255  1.13    
0.730 0.0265  1.15 .03
0.765 0.0275  1.15 .03
0.800 0.0285  1.13 .03
0.830 0.0295  1.07 .03
0.870 0.0240  1.01 .03
0.900 0.0250  1.01 .04
0.930 0.0260  1.05 .06
0.970 0.0270  1.10 .05
1.000 0.0280  1.07 .03
1.030 0.0290  1.10 .03
