0.330 0.0300   .34 .04
0.360 0.0250   .45 .04
0.380 0.0250   .50 .03
0.400 0.0245   .67 .04
0.435 0.0250   .75 .04
0.470 0.0252   .86 .03
0.500 0.0258   .89 .03
0.540 0.0265   .93 .04
0.570 0.0270  1.00 .04
0.600 0.0285  1.07 .04
0.630 0.0250  1.03 .03
0.670 0.0245  1.10 .03
0.700 0.0255  1.04 .04
0.735 0.0250   .99 .03
0.765 0.0275   .98 .04
0.800 0.0285   .93 .03
0.830 0.0295   .91 .04
0.875 0.0250   .89 .04
0.900 0.0250   .78 .04
0.930 0.0260   .79 .04
0.970 0.0270   .79 .06
