    5 1.052 0.029  1.148 0.035  1.216 0.024  1.143 0.033  1.123 0.036  1.147 0.038  -0.1645 0.0122
    6 1.027 0.013  1.129 0.029  1.245 0.012  1.151 0.012  1.141 0.014  1.197 0.016  -0.2185 0.0050
    7 1.019 0.008  1.142 0.028  1.290 0.005  1.212 0.010  1.200 0.007  1.270 0.015  -0.2714 0.0067
    8 1.108 0.002  0.    0.     1.544 0.018  1.405 0.013  1.382 0.019  1.556 0.016  -0.4368 0.0135
   15 0.980 0.001  1.111 0.023  1.293 0.009  1.171 0.010  1.242 0.009  1.280 0.003  -0.3137 0.0050
   17 1.069 0.008  1.072 0.046  1.258 0.024  1.168 0.013  1.184 0.022  1.161 0.009  -0.1892 0.0120
   20 1.092 0.002  1.238 0.031  1.221 0.001  1.218 0.003  1.178 0.002  1.174 0.004  -0.1296 0.0015
   21 0.976 0.007  0.937 0.015  0.978 0.021  0.970 0.016  0.979 0.014  0.972 0.025  -0.0021 0.0148
   22 1.032 0.006  1.099 0.032  1.221 0.002  1.163 0.010  1.267 0.008  1.324 0.012  -0.1893 0.0061
   26 0.981 0.005  1.073 0.054  1.211 0.007  1.222 0.001  1.222 0.001  1.235 0.007  -0.2309 0.0013
   30 0.997 0.004  1.227 0.005  1.317 0.006  1.279 0.005  1.323 0.009  1.301 0.002  -0.3204 0.0006
   40 1.059 0.005  1.178 0.043  1.168 0.004  1.148 0.002  1.148 0.     1.129 0.001  -0.1090 0.0030
   42 0.982 0.002  1.175 0.039  1.315 0.006  1.257 0.     1.305 0.002  1.368 0.005  -0.3331 0.0102
   60 1.105 0.008  1.182 0.029  1.417 0.028  1.279 0.022  1.266 0.022  1.351 0.034  -0.3117 0.0111
   67 1.066 0.003  1.274 0.037  1.284 0.006  1.124 0.003  1.195 0.004  1.263 0.007  -0.2181 0.0004
   69 1.023 0.002  1.079 0.013  1.132 0.001  1.163 0.002  1.290 0.002  1.303 0.004  -0.1094 0.0015
   75 1.105 0.003  0.    0.     1.236 0.020  1.197 0.009  1.294 0.021  1.287 0.005  -0.1310 0.0144
   79 1.088 0.008  1.161 0.056  1.258 0.     1.234 0.020  1.264 0.010  1.270 0.017  -0.1709 0.0126
   80 1.055 0.003  1.228 0.036  1.354 0.006  1.393 0.004  1.318 0.006  1.331 0.008  -0.2994 0.0003
   97 0.957 0.007  0.970 0.001  0.968 0.005  0.939 0.006  0.983 0.007  0.962 0.003  -0.0107 0.0021
  103 1.041 0.001  1.151 0.001  1.244 0.005  1.216 0.001  1.210 0.001  1.238 0.001  -0.2025 0.0060
  108 0.991 0.003  1.185 0.004  1.294 0.009  1.341 0.004  1.347 0.004  1.401 0.002  -0.3035 0.0132
  118 1.087 0.002  1.225 0.004  1.306 0.003  1.257 0.001  1.210 0.002  1.247 0.006  -0.2188 0.0008
  122 1.001 0.010  1.102 0.043  1.268 0.006  1.278 0.021  1.261 0.018  1.280 0.020  -0.2676 0.0109
  123 1.076 0.007  1.185 0.015  1.263 0.016  1.260 0.014  1.213 0.023  1.263 0.010  -0.1867 0.0049
  124 1.032 0.006  1.179 0.053  1.214 0.008  1.170 0.004  1.197 0.008  1.188 0.010  -0.1820 0.0007
  125 1.001 0.002  0.    0.     1.072 0.002  1.021 0.009  1.192 0.007  1.227 0.005  -0.0710 0.0010
  126 1.054 0.002  1.238 0.029  1.283 0.009  1.323 0.009  1.241 0.010  1.250 0.008  -0.2295 0.0042
  132 0.992 0.006  0.    0.     1.053 0.022  1.017 0.021  1.038 0.021  1.001 0.018  -0.0613 0.0151
