/2011/1_ceres.tab             1 Ceres       2011-09-11T09:50:21 2011-09-11T09:52:37 60   1  7.7  5.7 1.992 2.97 SAO147208 0.8 1.28
/2011/2_pallas.tab            2 Pallas      2011-08-30T06:24:27 2011-08-30T06:39:42 40  10  9.7 12.8 2.658 3.41 SAO120107 0.8 1.05
/2001/4_vesta.tab             4 Vesta       2001-09-29T14:08:11 2001-09-29T14:08:55 10   1  7.6 21.1 1.991 2.56 SAO93936  0.5 1.01
/2006/9_metis.tab             9 Metis       2006-02-25T11:33:33 2006-02-25T11:34:20  5   3  9.2  5.0 1.354 2.33 SAO93936  0.8 1.00
/2003/12_victoria.tab        12 Victoria    2003-08-13T05:42:12 2003-08-13T05:45:01  2   9 10.1 30.0 1.165 1.84 HD209847  0.5 1.19
/2001/20_massalia.tab        20 Massalia    2001-09-29T06:17:37 2001-09-29T06:21:40  6  20 11.2 20.4 2.131 2.67 SAO31899  0.5 1.30
/2008/22_kalliope.tab        22 Kalliope    2008-02-27T12:32:18 2008-02-27T15:26:25 60  10 11.2 11.4 2.176 3.02 SAO120107 0.8 1.01
/2011/30_urania.tab          30 Urania      2011-08-29T12:47:25 2011-08-29T12:52:25 10  15 11.4 28.3 1.584 2.07 SAO120107 0.8 1.19
/2003/37_fides.tab           37 Fides       2003-02-19T11:12:11 2003-02-19T11:20:01  4  12 10.5  3.4 1.538 2.52 SAO93936  0.5 1.01
/2011/41_daphne.tab          41 Daphne      2011-10-09T15:20:48 2011-10-09T15:23:35  2  35 13.0 18.7 3.084 3.05 SAO31899  0.8 1.11
/2002/44_nysa.tab            44 Nysa        2002-11-18T10:35:55 2002-11-18T10:36:44  2   3  9.4  2.9 1.215 2.20 SAO93936  0.5 1.01
/2011/45_eugenia.tab         45 Eugenia     2011-10-09T14:40:09 2011-10-09T14:47:44  4  45 12.0  8.8 2.000 2.92 SAO31899  0.8 1.39
/2008/51_nemausa.tab         51 Nemausa     2008-09-21T05:00:09 2008-09-21T05:22:29 30  10 11.9 22.3 1.918 2.47 SAO93936  0.8 1.20
/2007/56_melete.tab          56 Melete      2007-04-04T12:49:06 2007-04-04T12:55:01  8  30 11.6  3.6 1.533 2.53 SAO93936  0.8 1.29
/2003/63_ausonia.tab         63 Ausonia     2003-08-13T13:30:56 2003-08-13T13:33:24  3   4 10.7 15.6 1.353 2.25 HD209847  0.5 1.09
/2003/64_angelina.tab        64 Angelina    2003-08-14T10:13:32 2003-08-14T10:34:39  4  25 11.7  1.9 1.999 3.00 HD209847  0.5 1.23
/2001/66_maja.tab            66 Maja        2001-09-29T13:53:07 2001-09-29T13:57:12  3  60 12.9 20.6 1.424 2.20 SAO93936  0.5 1.01
/2003/84_klio.tab            84 Klio        2003-08-13T11:48:12 2003-08-13T11:53:30  2  30 10.7  8.1 0.814 1.81 HD209847  0.5 1.16
/2008/87_sylvia.tab          87 Sylvia      2008-02-27T10:37:58 2008-02-27T10:48:28 28  30 12.5  5.7 3.762 3.76 SAO93936  0.8 1.05
/2001/101_helena.tab        101 Helena      2001-09-29T10:42:05 2001-09-29T10:42:41  2  15 11.0  5.2 1.300 2.29 SAO93936  0.5 1.01
/2006/105_artemis.tab       105 Artemis     2006-02-25T12:29:40 2006-02-25T12:30:20  1  30 11.8 17.3 1.294 2.15 SAO93936  0.8 1.19
