0.340 0.0220  1.00 .16
0.355 0.0300   .72 .11
0.400 0.0245   .91 .05
0.430 0.0260   .83 .05
0.500 0.0258   .97 .06
0.540 0.0265   .97 .06
0.570 0.0270  1.00 .03
0.600 0.0285   .98 .06
0.635 0.0295  1.00 .06
0.670 0.0245  1.01 .11
0.700 0.0255  1.02 .13
0.730 0.0265  1.04 .03
0.765 0.0275   .98 .14
0.800 0.0285  1.06 .16
0.870 0.0240   .97 .23
0.900 0.0250   .93 .12
0.950 0.0510  1.10 .20
1.000 0.0280  1.33 .29
