0.330 0.0300  1.03 .14
0.355 0.0300   .88 .10
0.400 0.0245   .92 .03
0.430 0.0260   .98 .08
0.470 0.0252   .93 .07
0.500 0.0258   .93 .06
0.540 0.0265  1.06 .06
0.570 0.0270   .87 .08
0.600 0.0285  1.05 .08
0.635 0.0295  1.02 .03
0.670 0.0245  1.15 .07
0.700 0.0255  1.01 .01
0.730 0.0265   .92 .07
0.765 0.0275   .96 .18
0.800 0.0285  1.12 .15
