      1 Ceres              - - -      0.061 - 
      2 Pallas             - - -      0.093 1 
      3 Juno               - - -      0.138 - 
      4 Vesta              - - -      0.249 - 
      5 Astraea            - - -      0.125 1 
      6 Hebe               - - -      0.162 1 
      7 Iris               - - -      0.196 1 
      8 Flora              - - -      0.133 1 
      9 Metis              - - -      0.187 - 
     10 Hygiea             - - -      0.050 1 
     11 Parthenope         - - -      0.116 1 
     12 Victoria           - - -      0.098 1 
     13 Egeria             - - -      0.055 1 
     14 Irene              - - -      0.159 1 
     15 Eunomia            - - -      0.163 1 
     16 Psyche             - - -      0.094 1 
     17 Thetis             - - -      0.108 1 
     18 Melpomene          - - -      0.149 1 
     19 Fortuna            - - -      0.043 - 
     20 Massalia           - - -      0.189 1 
     21 Lutetia            - - -      0.106 1 
     22 Kalliope           - - -      0.108 1 
     23 Thalia             - - -      0.200 1 
     24 Themis             - - -      0.059 - 
     25 Phocaea            - - -      0.194 1 
     26 Proserpina         - - -      0.231 - 
     27 Euterpe            - - -      0.162 1 
     28 Bellona            - - -      0.120 1 
     29 Amphitrite         - - -      0.147 1 
     30 Urania             - - -      0.152 1 
     31 Euphrosyne         - - -      - - - - 
     32 Pomona             - - -      - - - - 
     33 Polyhymnia         - - -      0.203 - 
     34 Circe              - - -      0.043 1 
     35 Leukothea          - - -      0.023 - 
     36 Atalante           - - -      0.039 1 
     37 Fides              - - -      0.206 1 
     38 Leda               - - -      0.039 - 
     39 Laetitia           - - -      0.168 1 
     40 Harmonia           - - -      0.148 1 
     41 Daphne             - - -      0.045 1 
     42 Isis               - - -      0.159 1 
     43 Ariadne            - - -      0.130 1 
     44 Nysa               - - -      0.425 - 
     45 Eugenia            - - -      0.030 1 
     46 Hestia             - - -      0.034 - 
     47 Aglaja             - - -      0.035 1 
     48 Doris              - - -      - - - - 
     49 Pales              - - -      - - - - 
     50 Virginia           - - -      - - - - 
     51 Nemausa            - - -      0.062 1 
     52 Europa             - - -      0.047 1 
     53 Kalypso            - - -      - - - - 
     54 Alexandra          - - -      0.037 1 
     55 Pandora            - - -      0.132 - 
     56 Melete             - - -      0.031 1 
     57 Mnemosyne          - - -      - - - - 
     58 Concordia          - - -      - - - - 
     59 Elpis              - - -      0.039 - 
     60 Echo               - - -      0.194 1 
     61 Danae              - - -      0.184 2 
