    14 Irene             -9.999 -99  0.407  10  0.187  10 10.072   7  0.175   5  0.189   8 -9.999 -99 -9.999 -99 1980-03-18T11:25:00   3 -9
    14 Irene              0.479  26  0.397  24  0.200  26 11.047  25  0.090  25  0.113  38  0.106  38  0.051  35 1981-09-26T06:01:00  10 -9
    14 Irene              0.481  17  0.359  19  0.172  15 11.110  17  0.115  24  0.147  35  0.168  38  0.086  48 1981-09-27T06:10:00   5 -9
    15 Eunomia            0.649  35  0.440  23  0.178  13 10.224  17  0.163  17  0.184  22  0.149  32  0.222  35 1980-10-01T02:16:00   6 -9
    16 Psyche             0.086  21  0.045  17  0.020  12 11.216   8  0.076  10  0.121  14  0.214  12  0.194  10 1979-05-31T10:55:00   4 -9
    16 Psyche             0.285  95  0.197  49  0.109  53 10.233  31  0.087  35  0.162  39  0.131  41  0.153  48 1979-08-24T03:50:00   7 -9
    16 Psyche             0.114  35  0.082  29  0.011  23 10.432  22  0.084  22  0.141  30  0.185  31  0.180  33 1980-10-01T12:11:00   5 -9
    17 Thetis             0.475  20  0.369  19  0.165  14 11.750  17  0.174  22  0.142  35  0.182  38  0.075  42 1981-09-27T04:29:00   5 -9
    18 Melpomene          0.495  53  0.363  28  0.170  17  8.035  78  0.153  30  0.170  42  0.186  48  0.154  86 1981-08-30T07:33:00   5 -9
    18 Melpomene          0.510  15  0.387  19  0.188  14  8.654  17  0.153  35  0.172  38  0.193  38  0.132  47 1981-09-27T05:49:00   4 -9
    19 Fortuna            0.391  42  0.278  35  0.098  35  9.071  50 -0.026  32 -0.003  27 -0.007  30  0.007  38 1982-10-09T07:59:00   5 -9
    20 Massalia           0.440  35  0.330  18  0.145  14 10.060  27  0.118  23  0.104  15  0.090  30  0.080  31 1979-08-23T09:30:00   6 -9
    21 Lutetia           -9.999 -99 -0.027  26 -0.006  18 11.393  14  0.057   8  0.074  10 -9.999 -99 -9.999 -99 1980-03-17T09:37:00   3 -9
    21 Lutetia            0.008  43  0.026  31  0.040  24 10.109  14  0.045  31  0.097  31  0.124  27  0.055  26 1981-08-29T11:08:00   4 -9
    21 Lutetia            0.086  25  0.074  22  0.094  25  9.329  23 -0.004  25  0.021  36  0.006  38 -0.032  34 1981-09-26T08:35:00   5 -9
    21 Lutetia           -0.021  14 -0.033  18 -0.010  13  9.415  16  0.058  21  0.081  36  0.079  37  0.049  42 1981-09-27T08:35:00   4 -9
    22 Kalliope           0.038  17  0.017  15 -0.006   9 10.985   6  0.047   9  0.080   9  0.137  12  0.121   9 1979-05-31T08:38:00   8 -9
    23 Thalia             0.483  35  0.394  22  0.171  25 11.938  30  0.152  17  0.116  17  0.105  24  0.176  28 1979-10-15T04:06:00  10 -9
    23 Thalia             0.460  17  0.340  14  0.156  11  9.316  14  0.148  17  0.126  17  0.104  12  0.174  19 1980-12-24T07:56:00   5 -9
    24 Themis             0.235  32  0.168  31  0.051  29 12.376  29 -0.037  32 -0.055  33 -0.067  30 -0.055  43 1979-10-17T12:38:00   4 -9
    24 Themis             0.247  10  0.136  11  0.001  10 11.971   7 -0.011  10 -0.035  13 -0.037   9 -0.030  11 1981-02-07T11:29:00   5 -9
    25 Phocaea            0.714  34  0.559  18  0.284  21  9.918  25  0.203  25  0.189  17  0.181  27  0.197  40 1980-09-30T06:51:00   6 -9
    26 Proserpina         0.566  36  0.455  27  0.204  13 11.618  20  0.135  19  0.196  28  0.153  21  0.232  40 1980-10-30T08:51:00   7 -9
    27 Euterpe           -9.999 -99  0.425  17  0.166  17  9.198  16  0.190  15  0.143  26  0.144  20  0.138  38 1979-11-21T09:21:00   4 -9
    27 Euterpe            0.545  25  0.396  17  0.169  15 10.585   7  0.152  17  0.149  18  0.123  11  0.149  27 1981-05-08T08:13:00   4 -9
    28 Bellona            0.572  16  0.399  14  0.179  13 11.908   8  0.191   9  0.149   9  0.111  11  0.205   6 1979-06-01T06:24:00   5 -9
    29 Amphitrite         0.462  29  0.337  22  0.146  18  9.289  25  0.129  30  0.142  41  0.161  41  0.174  30 1980-01-16T10:27:00   5 -9
    29 Amphitrite        -9.999 -99  0.333  17  0.133  15 10.006   9  0.161   5  0.188   7 -9.999 -99 -9.999 -99 1980-03-19T04:55:00   4 -9
    29 Amphitrite         0.484  44  0.406  36  0.208  36  9.406  51  0.147  32  0.155  32  0.169  36  0.195  46 1982-10-09T06:01:00   6 -9
    30 Urania             0.630  40  0.458  35  0.185  33 10.957  35  0.196  37  0.240  41  0.248  39  0.269  43 1982-10-10T11:48:00   6 -9
    32 Pomona             0.558  17  0.407  13  0.177  14 11.831  21  0.184  14  0.131  20  0.145  21  0.210  14 1981-05-09T05:16:00   4 -9
    33 Polyhymnia         0.611  26  0.467  26  0.190  18 10.577  19  0.125  18  0.100  25  0.080  31  0.154  32 1980-10-01T07:32:00   5 -9
    34 Circe              0.250  36  0.169  32  0.034  35 13.068  38 -0.011  30  0.000  24  0.037  23  0.046  35 1981-11-03T11:52:00   7 -9
    35 Leukothea          0.192  46  0.130  33  0.012  26 13.465  18 -0.009  36  0.016  45  0.019  37  0.078  34 1981-08-29T09:38:00   7 -9
    37 Fides              0.694  46  0.474  39  0.212  21 11.574  28  0.152  26  0.071  32  0.038  37  0.110  29 1979-08-23T04:07:00   6 -9
    37 Fides              0.442  22  0.342  20  0.147  18 10.051  19  0.151  19  0.138  17  0.135  21  0.195  17 1980-12-27T06:54:00   4 -9
    38 Leda               0.307  16  0.210  17  0.023  21 12.662  15 -0.069  29 -0.017  47 -0.016  33 -0.006  38 1981-10-05T05:52:00   5 -9
    38 Leda               0.345  41  0.248  33  0.068  34 13.149  27 -0.017  22  0.033  27  0.048  13  0.036  42 1981-11-05T03:20:00   5 -9
    39 Laetitia           0.697  18  0.505  12  0.226  11 11.914   8  0.170  12  0.173  16  0.154   7  0.143  17 1981-02-07T11:52:00   4 -9
    40 Harmonia           0.516  23  0.380  14  0.172  13 10.814   9  0.175   9  0.170   9  0.167  11  0.250   6 1979-06-01T07:06:00   4 -9
    41 Daphne             0.320  15  0.214  20  0.051  16 11.961  17  0.002  22  0.040  34  0.051  39  0.059  45 1981-09-27T03:41:00   7 -9
    42 Isis              -9.999 -99  0.426  16  0.190  16 11.072  16  0.161  18  0.187  21  0.156  18  0.146  35 1979-11-21T08:51:00   5 -9
    42 Isis               0.659  29  0.467  11  0.224  13 12.634  20  0.175  13  0.171  19  0.175  20  0.168  12 1981-05-09T03:37:00   5 -9
