     1 Ceres             0.430  10  0.263   6  0.047   6  0.000   6 -0.005   6 -0.022   8 -0.031   8 6 -9 
     2 Pallas            0.170  17  0.075  10  0.000   7 -0.013   6 -0.023   6 -0.096  10 -0.074   8 4 -9 
     3 Juno              0.461   9  0.299   9  0.119   9  0.114  10  0.079  10  0.055   8  0.085   9 2 -9 
     4 Vesta             0.652  12  0.428  10  0.142   6  0.085   8 -0.168   9 -0.268   8  0.004  13 4 -9 
     5 Astraea           0.444  20  0.330  18  0.146  14  0.142  13  0.083  14  0.088  14  0.147  11 1 -9 
     6 Hebe              0.428  13  0.318  11  0.150   6  0.115   8  0.084   8  0.069   9  0.115   8 3 -9 
     7 Iris              0.636  16  0.460   8  0.189   3  0.152   6  0.135   8  0.087   8  0.137  11 3 -9 
     8 Flora             0.699  13  0.497   9  0.218   8  0.190   6  0.181   9  0.128  37  0.132  42 2 -9 
     9 Metis             0.657  20  0.471  11  0.180  10  0.178   8  0.240   8  0.225  16  0.195  19 5 -9 
    10 Hygiea            0.279  20  0.174  13  0.012   9 -0.023  15 -0.024   9 -0.070  17 -0.093  20 2 -9 
    11 Parthenope        0.528  15  0.398  17  0.192  13  0.157  21  0.126  33  0.122  36  0.051  44 1 -9 
    12 Victoria          0.723  13  0.494  11  0.204  12  0.186  11  0.254  16  0.250  15  0.227  17 2 -9 
    13 Egeria           -9.999 -99  0.314  10  0.068  10  0.003   5  0.037   9 -9.999 -99 -9.999 -99 1 -9 
    14 Irene             0.480  14  0.397   8  0.184   8  0.169   5  0.184   8  0.137  27  0.063  28 3 -9 
    15 Eunomia           0.649  35  0.440  23  0.178  13  0.163  17  0.184  22  0.149  32  0.222  35 1 -9 
    16 Psyche            0.100  18  0.066  14  0.022  10  0.078   9  0.128  12  0.205  11  0.191   9 3 -9 
    17 Thetis            0.475  20  0.369  19  0.165  14  0.174  22  0.142  35  0.182  38  0.075  42 1 -9 
    18 Melpomene         0.509  14  0.379  16  0.181  11  0.153  23  0.171  28  0.190  30  0.137  41 2 -9 
    19 Fortuna           0.391  42  0.278  35  0.098  35 -0.026  32 -0.003  27 -0.007  30  0.007  38 1 -9 
    20 Massalia          0.440  35  0.330  18  0.145  14  0.118  23  0.104  15  0.090  30  0.080  31 1 -9 
    21 Lutetia           0.005  12  0.005  11  0.012   9  0.052   7  0.073   9  0.083  19  0.028  19 4 -9 
    22 Kalliope          0.038  17  0.017  15 -0.006   9  0.047   9  0.080   9  0.137  12  0.121   9 1 -9 
    23 Thalia            0.464  15  0.356  12  0.158  10  0.150  12  0.121  12  0.104  11  0.175  16 2 -9 
    24 Themis            0.246  10  0.140  10  0.006   9 -0.013  10 -0.038  12 -0.039   9 -0.032  11 2 -9 
    25 Phocaea           0.714  34  0.559  18  0.284  21  0.203  25  0.189  17  0.181  27  0.197  40 1 -9 
    26 Proserpina        0.566  36  0.455  27  0.204  13  0.135  19  0.196  28  0.153  21  0.232  40 1 -9 
    27 Euterpe           0.545  25  0.411  12  0.168  11  0.173  11  0.147  15  0.128  10  0.145  22 2 -9 
    28 Bellona           0.572  16  0.399  14  0.179  13  0.191   9  0.149   9  0.111  11  0.205   6 1 -9 
    29 Amphitrite        0.469  24  0.343  13  0.145  11  0.160   5  0.185   7  0.166  27  0.180  25 3 -9 
    30 Urania            0.630  40  0.458  35  0.185  33  0.196  37  0.240  41  0.248  39  0.269  43 1 -9 
    32 Pomona            0.558  17  0.407  13  0.177  14  0.184  14  0.131  20  0.145  21  0.210  14 1 -9 
    33 Polyhymnia        0.611  26  0.467  26  0.190  18  0.125  18  0.100  25  0.080  31  0.154  32 1 -9 
    34 Circe             0.250  36  0.169  32  0.034  35 -0.011  30  0.000  24  0.037  23  0.046  35 1 -9 
    35 Leukothea         0.192  46  0.130  33  0.012  26 -0.009  36  0.016  45  0.019  37  0.078  34 1 -9 
    37 Fides             0.489  20  0.369  18  0.175  14  0.151  15  0.123  15  0.111  18  0.173  15 2 -9 
    38 Leda              0.312  15  0.218  15  0.035  18 -0.036  18  0.021  23  0.039  12  0.013  28 2 -9 
    39 Laetitia          0.697  18  0.505  12  0.226  11  0.170  12  0.173  16  0.154   7  0.143  17 1 -9 
    40 Harmonia          0.516  23  0.380  14  0.172  13  0.175   9  0.170   9  0.167  11  0.250   6 1 -9 
    41 Daphne            0.320  15  0.214  20  0.051  16  0.002  22  0.040  34  0.051  39  0.059  45 1 -9 
    42 Isis              0.659  29  0.454   9  0.210  10  0.170  11  0.178  14  0.165  13  0.166  11 2 -9 
    43 Ariadne           0.652  25  0.459  17  0.189  17  0.141  17  0.085  21  0.057  21  0.048  14 1 -9 
    44 Nysa              0.092  12  0.058   9  0.022   7  0.048   6  0.041  10  0.036  10  0.111  10 3 -9 
    45 Eugenia           0.112  21  0.033  15 -0.023  12  0.011  15  0.018  13 -0.036  19 -0.058  20 2 -9 
    46 Hestia            0.088  24  0.047  16  0.027  15  0.064  14  0.091  14  0.092  16  0.074  21 2 -9 
    47 Aglaja            0.192  23  0.094  15 -0.005  16 -0.008  13 -0.018  15 -0.034  18 -0.052  18 2 -9 
    48 Doris            -9.999 -99  0.233  18  0.034  17 -0.029  20 -0.015  23 -0.012  19 -0.010  34 1 -9 
    49 Pales             0.368  45  0.293  40  0.086  37 -0.017  44  0.041  45  0.044  37  0.065  39 1 -9 
    50 Virginia          0.222  44  0.178  35  0.044  35  0.067  32  0.052  38  0.082  35  0.094  38 1 -9 
    51 Nemausa           0.509  19  0.357  14  0.101   8 -0.000  11  0.071  11  0.103  15  0.090  22 3 -9 
    52 Europa            0.137  19  0.070  17 -0.024  10 -0.017   9 -0.032  10  0.011  12 -0.044   9 1 -9 
    54 Alexandra         0.260  23  0.153  18  0.010  13 -0.003  18  0.019  20  0.057  18  0.081  22 1 -9 
    55 Pandora           0.096  45  0.057  38 -0.003  38  0.036  40  0.073  32  0.106  35  0.143  42 1 -9 
    56 Melete            0.154  26  0.111  19  0.006  13  0.108  13  0.134  14  0.126  17  0.139  22 1 -9 
    57 Mnemosyne         0.443  24  0.337  14  0.148  11  0.176  16  0.167  24  0.136  21  0.216  36 1 -9 
    58 Concordia         0.301  53  0.177  39  0.045  39  0.012  44  0.007  38  0.050  35  0.041  47 1 -9 
    59 Elpis             0.138  31  0.079  19 -0.001  15  0.027  14  0.043  18  0.043  18  0.038  23 1 -9 
    60 Echo              0.512  21  0.357  14  0.168  16  0.158  24  0.114  26  0.068  25  0.195  28 1 -9 
    61 Danae             0.454  19  0.359  29  0.170  22  0.167  16  0.130  18  0.136  19  0.203  12 1 -9 
    62 Erato             0.252  18  0.142  19  0.012  15 -0.002  23 -0.074  39 -0.067  38 -0.255  49 1 -9 
    63 Ausonia           0.540  43  0.454  35  0.177  36  0.225  26  0.216  22  0.215  18  0.232  40 1 -9 
    64 Angelina          0.153  13  0.102   6  0.056  10  0.102  12  0.143   8  0.121  11  0.160  17 4 -9 
    65 Cybele            0.096  15  0.049  16 -0.017  12  0.027   8  0.041   7  0.052  11  0.080   8 2 -9 
    66 Maja              0.285  24  0.186  30  0.034  24 -0.042  26 -0.018  15 -0.019  21 -0.003  18 1 -9 
    67 Asia              0.541  20  0.384  16  0.191  15  0.174  17  0.135  24  0.121  20  0.130  29 1 -9 
    68 Leto              0.566  25  0.394  28  0.158  26  0.144  15  0.121  22  0.138  22  0.088  13 1 -9 
    69 Hesperia          0.067  49  0.062  38  0.033  38  0.089  41  0.142  38  0.158  34  0.178  39 1 -9 
    70 Panopaea          0.380  36  0.207  21  0.069  15  0.028  16  0.044  28  0.061  15  0.144  12 1 -9 
    71 Niobe             0.465  13  0.361  16  0.139  15  0.106  14  0.195  12  0.203  18  0.151  19 3 -9 
    75 Eurydike          0.154  35  0.099  18  0.048  22  0.073  26  0.100  18  0.150  29  0.175  40 1 -9 
    76 Freia             0.212  40  0.124  22  0.036  17  0.066  23  0.108  33  0.138  32  0.138  33 1 -9 
    77 Frigga            0.136  35  0.118  18  0.087  22  0.107  25  0.175  16  0.263  31  0.307  38 1 -9 
    78 Diana             0.358  36  0.171  20  0.039  14 -0.001  22 -0.008  23  0.007  27  0.006  29 1 -9 
    79 Eurynome          0.549  18  0.442  18  0.225  12  0.169  22  0.145  34  0.166  37  0.120  42 1 -9 
    80 Sappho            0.622  17  0.493  16  0.216  11  0.213  13  0.198  16  0.176  13  0.207  14 2 -9 
    81 Terpsichore       0.208  31  0.141  29  0.013  32  0.001  19  0.007  23  0.016  39  0.026  47 1 -9 
    82 Alkmene           0.435  26  0.335  32  0.146  23  0.173  24  0.116  27  0.128  31  0.173  37 1 -9 
    83 Beatrix           0.136  22  0.092  18  0.041  17  0.108  18  0.154  19  0.147  24  0.116  26 2 -9 
    85 Io                0.132  11  0.047  10 -0.034  10  0.012  10 -0.011  13 -0.014  11 -0.061  17 2 -9 
    86 Semele            0.237  16  0.164  17  0.053  14 -0.020  14  0.022  18  0.048  27  0.093  36 3 -9 
    87 Sylvia            0.087  15  0.077  12  0.025  10  0.048  11  0.119  12  0.151  15  0.164  13 4 -9 
    88 Thisbe            0.141  44  0.058  16 -0.035  15 -0.013   8 -0.024   9 -0.047  30 -0.046  42 2 -9 
    89 Julia             0.621  16  0.480  19  0.221  14  0.207  22  0.225  33  0.223  37  0.237  42 1 -9 
    90 Antiope           0.226  26  0.129  15  0.014  14  0.036  15  0.007  21  0.002  19 -0.045  28 2 -9 
    92 Undina            0.196  16  0.113  19  0.065  14  0.078  25  0.103  35  0.146  37  0.052  42 1 -9 
    93 Minerva           0.170  20  0.099  15  0.070  21 -0.064  19  0.004  25 -0.034  16 -0.116  23 2 -9 
    94 Aurora            0.125  14  0.087  15 -0.004  12  0.020  13  0.054  13  0.021  16  0.063  14 2 -9 
    95 Arethusa          0.277  16  0.176  13  0.022  10 -0.005  11  0.015  15  0.018  13  0.022  22 2 -9 
