0.290   1.000 0.520 0.790 -.999   -.999 -.999 -.999 -.999 -.999 -.999 
0.295   1.000 0.590 0.810 -.999   -.999 -.999 -.999 -.999 -.999 -.999 
0.300   1.000 0.660 0.830 -.999   -.999 -.999 -.999 -.999 -.999 -.999 
0.305   1.000 0.700 0.835 -.999   -.999 -.999 -.999 -.999 -.999 -.999 
0.310   1.000 0.730 0.840 -.999   -.999 -.999 -.999 -.999 -.999 -.999 
0.315   1.000 0.725 0.845 -.999   -.999 -.999 -.999 -.999 -.999 -.999 
0.320   1.000 0.720 0.850 -.999   -.999 -.999 -.999 -.999 -.999 -.999 
0.325   1.000 0.680 0.845 -.999   -.999 -.999 -.999 -.999 -.999 -.999 
0.330   1.000 0.620 0.840 -.999   -.999 -.999 -.999 -.999 -.999 -.999 
0.335   1.000 0.550 0.835 -.999   -.999 -.999 -.999 -.999 -.999 -.999 
0.340   1.000 0.490 0.830 -.999   -.999 -.999 -.999 -.999 -.999 -.999 
0.345   1.000 0.420 0.830 -.999   -.999 -.999 -.999 -.999 -.999 -.999 
0.350   1.000 0.330 0.830 -.999   -.999 -.999 -.999 -.999 -.999 -.999 
0.355   1.000 0.250 0.825 -.999   -.999 -.999 -.999 -.999 -.999 -.999 
0.360   1.000 0.170 0.820 0.005   -.999 -.999 -.999 -.999 -.999 -.999 
0.365   0.990 0.090 0.785 0.048   -.999 -.999 -.999 -.999 -.999 -.999 
0.370   0.980 0.050 0.750 0.090   -.999 -.999 -.999 -.999 -.999 -.999 
0.375   0.990 0.010 0.675 0.180   -.999 -.999 -.999 -.999 -.999 -.999 
0.380   0.970 -.999 0.600 0.270   -.999 -.999 -.999 -.999 -.999 -.999 
0.385   0.930 -.999 0.490 0.360   -.999 -.999 -.999 -.999 -.999 -.999 
0.390   0.890 -.999 0.380 0.450   -.999 -.999 -.999 -.999 -.999 -.999 
0.395   0.960 -.999 0.245 0.515   -.999 -.999 -.999 -.999 -.999 -.999 
0.400   0.970 -.999 0.110 0.580   -.999 -.999 -.999 -.999 -.999 -.999 
0.405   0.985 -.999 0.060 0.620   -.999 -.999 -.999 -.999 -.999 -.999 
0.410   1.000 -.999 0.010 0.660   -.999 -.999 -.999 -.999 -.999 -.999 
0.415   1.000 -.999 -.999 0.680   -.999 -.999 -.999 -.999 -.999 -.999 
0.420   1.000 -.999 -.999 0.700   -.999 -.999 -.999 -.999 -.999 -.999 
0.425   1.000 -.999 -.999 0.705   -.999 -.999 -.999 -.999 -.999 -.999 
0.430   1.000 -.999 -.999 0.710   -.999 -.999 -.999 -.999 -.999 -.999 
0.435   1.000 -.999 -.999 0.695   -.999 -.999 -.999 -.999 -.999 -.999 
0.440   1.000 -.999 -.999 0.680   -.999 -.999 -.999 -.999 -.999 -.999 
0.445   0.995 -.999 -.999 0.665   -.999 -.999 -.999 -.999 -.999 -.999 
0.450   0.990 -.999 -.999 0.650   -.999 -.999 -.999 -.999 -.999 -.999 
0.455   0.985 -.999 -.999 0.645   -.999 -.999 -.999 -.999 -.999 -.999 
0.460   0.980 -.999 -.999 0.640   -.999 -.999 -.999 -.999 -.999 -.999 
0.465   0.975 -.999 -.999 0.610   -.999 -.999 -.999 -.999 -.999 -.999 
0.470   0.970 -.999 -.999 0.580   -.999 -.999 -.999 -.999 -.999 -.999 
0.475   0.940 -.999 -.999 0.535   -.999 -.999 -.999 -.999 -.999 -.999 
0.480   0.910 -.999 -.999 0.490   -.999 -.999 -.999 -.999 -.999 -.999 
0.485   0.810 -.999 -.999 0.440   -.999 -.999 -.999 -.999 -.999 -.999 
0.490   0.710 -.999 -.999 0.390   -.999 -.999 -.999 -.999 -.999 -.999 
0.495   0.600 -.999 -.999 0.340   -.999 -.999 -.999 -.999 -.999 -.999 
0.500   0.480 -.999 -.999 0.290   0.520 0.005 -.999 -.999 -.999 -.999 
0.505   0.380 -.999 -.999 0.230   0.620 0.030 -.999 -.999 -.999 -.999 
0.510   0.300 -.999 -.999 0.170   0.700 0.060 -.999 -.999 -.999 -.999 
0.515   0.275 -.999 -.999 0.130   0.725 0.155 -.999 -.999 -.999 -.999 
0.520   0.250 -.999 -.999 0.090   0.750 0.250 -.999 -.999 -.999 -.999 
0.525   0.245 -.999 -.999 0.065   0.755 0.380 -.999 -.999 -.999 -.999 
0.530   0.260 -.999 -.999 0.040   0.740 0.500 -.999 -.999 -.999 -.999 
0.535   0.280 -.999 -.999 0.023   0.720 0.560 -.999 -.999 -.999 -.999 
0.540   0.300 -.999 -.999 0.005   0.700 0.590 -.999 -.999 -.999 -.999 
0.545   0.310 -.999 -.999 0.003   0.690 0.600 -.999 -.999 -.999 -.999 
0.550   0.310 -.999 -.999 0.001   0.690 0.590 -.999 -.999 -.999 -.999 
0.555   -.999 -.999 -.999 -.999   0.710 0.570 -.999 -.999 -.999 -.999 
0.560   -.999 -.999 -.999 -.999   0.720 0.530 -.999 -.999 -.999 -.999 
0.565   -.999 -.999 -.999 -.999   0.730 0.490 -.999 -.999 -.999 -.999 
0.570   -.999 -.999 -.999 -.999   0.730 0.420 -.999 -.999 -.999 -.999 
0.575   -.999 -.999 -.999 -.999   0.740 0.350 -.999 -.999 -.999 -.999 
0.580   -.999 -.999 -.999 -.999   0.750 0.270 -.999 -.999 -.999 -.999 
0.585   -.999 -.999 -.999 -.999   0.760 0.200 -.999 -.999 -.999 -.999 
0.590   -.999 -.999 -.999 -.999   0.770 0.140 -.999 -.999 -.999 -.999 
0.595   -.999 -.999 -.999 -.999   0.780 0.100 -.999 -.999 -.999 -.999 
0.600   -.999 -.999 -.999 -.999   0.790 0.070 -.999 -.999 -.999 -.999 
0.605   -.999 -.999 -.999 -.999   0.780 0.050 -.999 -.999 -.999 -.999 
0.610   -.999 -.999 -.999 -.999   0.770 0.030 -.999 -.999 -.999 -.999 
0.615   -.999 -.999 -.999 -.999   0.770 0.025 -.999 -.999 -.999 -.999 
0.620   -.999 -.999 -.999 -.999   0.770 0.020 -.999 -.999 -.999 -.999 
0.625   -.999 -.999 -.999 -.999   0.780 0.015 0.005 -.999 -.999 -.999 
0.630   -.999 -.999 -.999 -.999   0.780 0.010 0.010 -.999 -.999 -.999 
0.635   -.999 -.999 -.999 -.999   0.790 0.008 0.020 -.999 -.999 -.999 
0.640   -.999 -.999 -.999 -.999   0.800 0.004 0.025 -.999 -.999 -.999 
0.645   -.999 -.999 -.999 -.999   0.820 0.002 0.035 -.999 -.999 -.999 
0.650   -.999 -.999 -.999 -.999   0.820 0.001 0.045 -.999 -.999 -.999 
0.655   -.999 -.999 -.999 -.999   0.835 -.999 0.070 -.999 -.999 -.999 
0.660   -.999 -.999 -.999 -.999   0.840 -.999 0.100 -.999 -.999 -.999 
0.665   -.999 -.999 -.999 -.999   0.830 -.999 0.160 -.999 -.999 -.999 
0.670   -.999 -.999 -.999 -.999   0.825 -.999 0.225 -.999 -.999 -.999 
0.675   -.999 -.999 -.999 -.999   0.820 -.999 0.300 -.999 -.999 -.999 
0.680   -.999 -.999 -.999 -.999   0.820 -.999 0.390 -.999 -.999 -.999 
0.685   -.999 -.999 -.999 -.999   0.820 -.999 0.490 -.999 -.999 -.999 
0.690   -.999 -.999 -.999 -.999   0.820 -.999 0.560 -.999 -.999 -.999 
0.695   -.999 -.999 -.999 -.999   0.820 -.999 0.590 -.999 -.999 -.999 
0.700   -.999 -.999 -.999 -.999   0.825 -.999 0.615 -.999 -.999 -.999 
