0.705   -.999 -.999 -.999 -.999   0.830 -.999 0.625 -.999 -.999 -.999 
0.710   -.999 -.999 -.999 -.999   0.830 -.999 0.615 -.999 -.999 -.999 
0.715   -.999 -.999 -.999 -.999   0.830 -.999 0.585 -.999 -.999 -.999 
0.720   -.999 -.999 -.999 -.999   0.830 -.999 0.545 -.999 -.999 -.999 
0.725   -.999 -.999 -.999 -.999   0.810 -.999 0.505 -.999 -.999 -.999 
0.730   -.999 -.999 -.999 -.999   0.790 -.999 0.460 -.999 -.999 -.999 
0.735   -.999 -.999 -.999 -.999   0.770 -.999 0.410 -.999 -.999 -.999 
0.740   -.999 -.999 -.999 -.999   0.750 -.999 0.335 -.999 -.999 -.999 
0.745   -.999 -.999 -.999 -.999   0.740 -.999 0.275 -.999 -.999 -.999 
0.750   -.999 -.999 -.999 -.999   0.725 -.999 0.225 -.999 -.999 -.999 
0.755   -.999 -.999 -.999 -.999   0.710 -.999 0.190 -.999 -.999 -.999 
0.760   -.999 -.999 -.999 -.999   0.705 -.999 0.150 -.999 -.999 -.999 
0.765   -.999 -.999 -.999 -.999   0.705 -.999 0.115 -.999 -.999 -.999 
0.770   -.999 -.999 -.999 -.999   0.710 -.999 0.085 -.999 -.999 -.999 
0.775   -.999 -.999 -.999 -.999   0.720 -.999 0.065 -.999 -.999 -.999 
0.780   -.999 -.999 -.999 -.999   0.735 -.999 0.045 0.005 -.999 -.999 
0.785   -.999 -.999 -.999 -.999   0.750 -.999 0.035 0.010 -.999 -.999 
0.790   -.999 -.999 -.999 -.999   0.755 -.999 0.025 0.015 -.999 -.999 
0.795   -.999 -.999 -.999 -.999   0.765 -.999 0.020 0.030 -.999 -.999 
0.800   -.999 -.999 -.999 -.999   0.770 -.999 0.015 0.050 -.999 -.999 
0.805   -.999 -.999 -.999 -.999   0.775 -.999 0.010 0.085 -.999 -.999 
0.810   -.999 -.999 -.999 -.999   0.780 -.999 0.010 0.190 -.999 -.999 
0.815   -.999 -.999 -.999 -.999   0.780 -.999 0.005 0.320 -.999 -.999 
0.820   -.999 -.999 -.999 -.999   0.770 -.999 0.005 0.425 -.999 -.999 
0.825   -.999 -.999 -.999 -.999   0.760 -.999 0.003 0.510 -.999 -.999 
0.830   -.999 -.999 -.999 -.999   0.750 -.999 0.003 0.580 -.999 -.999 
0.835   -.999 -.999 -.999 -.999   0.740 -.999 -.999 0.650 -.999 -.999 
0.840   -.999 -.999 -.999 -.999   0.730 -.999 -.999 0.690 -.999 -.999 
0.845   -.999 -.999 -.999 -.999   0.715 -.999 -.999 0.710 -.999 -.999 
0.850   -.999 -.999 -.999 -.999   0.700 -.999 -.999 0.725 -.999 -.999 
0.855   -.999 -.999 -.999 -.999   0.685 -.999 -.999 0.730 -.999 -.999 
0.860   -.999 -.999 -.999 -.999   0.670 -.999 -.999 0.735 0.005 -.999 
0.865   -.999 -.999 -.999 -.999   0.660 -.999 -.999 0.730 0.010 -.999 
0.870   -.999 -.999 -.999 -.999   0.650 -.999 -.999 0.725 0.010 -.999 
0.875   -.999 -.999 -.999 -.999   0.650 -.999 -.999 0.720 0.015 -.999 
0.880   -.999 -.999 -.999 -.999   0.650 -.999 -.999 0.710 0.020 -.999 
0.885   -.999 -.999 -.999 -.999   0.650 -.999 -.999 0.660 0.030 -.999 
0.890   -.999 -.999 -.999 -.999   0.655 -.999 -.999 0.540 0.050 -.999 
0.895   -.999 -.999 -.999 -.999   0.660 -.999 -.999 0.420 0.080 -.999 
0.900   -.999 -.999 -.999 -.999   0.670 -.999 -.999 0.290 0.130 -.999 
0.905   -.999 -.999 -.999 -.999   0.680 -.999 -.999 0.210 0.230 -.999 
0.910   -.999 -.999 -.999 -.999   0.690 -.999 -.999 0.140 0.330 -.999 
0.915   -.999 -.999 -.999 -.999   0.705 -.999 -.999 0.085 0.430 -.999 
0.920   -.999 -.999 -.999 -.999   0.720 -.999 -.999 0.065 0.550 -.999 
0.925   -.999 -.999 -.999 -.999   0.735 -.999 -.999 0.040 0.690 -.999 
0.930   -.999 -.999 -.999 -.999   0.750 -.999 -.999 0.030 0.745 -.999 
0.935   -.999 -.999 -.999 -.999   0.760 -.999 -.999 0.025 0.780 -.999 
0.940   -.999 -.999 -.999 -.999   0.770 -.999 -.999 0.020 0.795 -.999 
0.945   -.999 -.999 -.999 -.999   0.790 -.999 -.999 0.010 0.805 -.999 
0.950   -.999 -.999 -.999 -.999   0.800 -.999 -.999 0.005 0.815 -.999 
0.955   -.999 -.999 -.999 -.999   0.805 -.999 -.999 -.999 0.815 -.999 
0.960   -.999 -.999 -.999 -.999   0.815 -.999 -.999 -.999 0.810 0.005 
0.965   -.999 -.999 -.999 -.999   0.825 -.999 -.999 -.999 0.790 0.005 
0.970   -.999 -.999 -.999 -.999   0.830 -.999 -.999 -.999 0.775 0.010 
0.975   -.999 -.999 -.999 -.999   0.835 -.999 -.999 -.999 0.760 0.015 
0.980   -.999 -.999 -.999 -.999   0.835 -.999 -.999 -.999 0.740 0.020 
0.985   -.999 -.999 -.999 -.999   0.835 -.999 -.999 -.999 0.700 0.030 
0.990   -.999 -.999 -.999 -.999   0.830 -.999 -.999 -.999 0.590 0.050 
0.995   -.999 -.999 -.999 -.999   0.825 -.999 -.999 -.999 0.450 0.090 
1.000   -.999 -.999 -.999 -.999   0.820 -.999 -.999 -.999 0.340 0.150 
1.005   -.999 -.999 -.999 -.999   0.815 -.999 -.999 -.999 0.250 0.220 
1.010   -.999 -.999 -.999 -.999   0.805 -.999 -.999 -.999 0.170 0.310 
1.015   -.999 -.999 -.999 -.999   0.800 -.999 -.999 -.999 0.110 0.500 
1.020   -.999 -.999 -.999 -.999   0.800 -.999 -.999 -.999 0.070 0.580 
1.025   -.999 -.999 -.999 -.999   0.795 -.999 -.999 -.999 0.045 0.640 
1.030   -.999 -.999 -.999 -.999   0.790 -.999 -.999 -.999 0.030 0.665 
1.035   -.999 -.999 -.999 -.999   0.790 -.999 -.999 -.999 0.025 0.650 
1.040   -.999 -.999 -.999 -.999   0.785 -.999 -.999 -.999 0.020 0.645 
1.045   -.999 -.999 -.999 -.999   0.785 -.999 -.999 -.999 0.015 0.640 
1.050   -.999 -.999 -.999 -.999   0.790 -.999 -.999 -.999 0.010 0.640 
1.055   -.999 -.999 -.999 -.999   0.790 -.999 -.999 -.999 0.005 0.640 
1.060   -.999 -.999 -.999 -.999   0.795 -.999 -.999 -.999 0.005 0.645 
1.065   -.999 -.999 -.999 -.999   0.800 -.999 -.999 -.999 -.999 0.650 
1.070   -.999 -.999 -.999 -.999   0.800 -.999 -.999 -.999 -.999 0.655 
1.075   -.999 -.999 -.999 -.999   0.805 -.999 -.999 -.999 -.999 0.660 
1.080   -.999 -.999 -.999 -.999   0.810 -.999 -.999 -.999 -.999 0.665 
1.085   -.999 -.999 -.999 -.999   0.815 -.999 -.999 -.999 -.999 0.660 
1.090   -.999 -.999 -.999 -.999   0.820 -.999 -.999 -.999 -.999 0.635 
1.095   -.999 -.999 -.999 -.999   0.825 -.999 -.999 -.999 -.999 0.570 
1.100   -.999 -.999 -.999 -.999   0.830 -.999 -.999 -.999 -.999 0.460 
