     1 Ceres              -1.730 -1.643  0.406 -0.329  0.227 -0.153  0.005 0
     2 Pallas             -3.261 -1.063 -0.182  0.151  0.131  0.346  0.105 0
     3 Juno                0.270 -0.939 -0.007  0.228  0.106 -0.072  0.124 0
     4 Vesta              -1.557 -4.371  0.922  1.957  0.231 -0.013  0.143 0
     5 Astraea             0.878 -0.666  0.131  0.523 -0.124 -0.138  0.029 0
     6 Hebe                0.554 -0.819  0.131  0.301 -0.186  0.079  0.060 0
     7 Iris                1.902 -1.375  0.203  0.089  0.194  0.049  0.019 0
     8 Flora               2.735 -1.356 -0.146 -0.110  0.209  0.012  0.070 0
     9 Metis               3.125 -0.199  0.018 -0.589  0.394 -0.158 -0.040 0
    10 Hygiea             -2.849 -1.522  0.029 -0.266  0.159  0.093 -0.059 0
    11 Parthenope          1.477 -1.203 -0.466 -0.198 -0.300 -0.116  0.025 0
    12 Victoria            3.659 -0.185  0.190 -0.643  0.367 -0.200  0.088 0
    14 Irene               1.763 -0.758 -0.731 -0.340 -0.106  0.170 -0.120 0
    15 Eunomia             2.539 -0.545  0.415  0.018  0.406 -0.010  0.109 0
    16 Psyche             -0.434  1.937  0.009 -0.040 -0.150 -0.253  0.018 0
    17 Thetis              1.632 -0.516 -0.615 -0.256 -0.292 -0.421 -0.066 0
    18 Melpomene           1.990 -0.291 -0.153 -0.354 -0.205 -0.139  0.035 0
    19 Fortuna            -1.506 -1.540  0.801 -0.398 -0.271  0.166  0.015 0
    20 Massalia            0.651 -0.822 -0.123 -0.018 -0.136  0.010  0.001 0
    21 Lutetia            -1.985  0.952 -0.684  0.019 -0.308  0.125  0.033 0
    22 Kalliope           -1.553  1.531 -0.114  0.043 -0.161 -0.160  0.013 0
    23 Thalia              1.357 -0.496  0.158  0.426 -0.019  0.030 -0.006 0
    24 Themis             -2.739 -1.031  0.254  0.025  0.040 -0.123  0.008 0
    25 Phocaea             3.646 -1.230  0.194 -0.056 -0.313  0.031  0.032 0
    26 Proserpina          2.501 -0.391  0.586 -0.139  0.061  0.369 -0.071 0
    27 Euterpe             1.880 -0.741 -0.114  0.147  0.109 -0.121 -0.053 0
    28 Bellona             2.162 -0.649  0.088  0.571  0.224 -0.011  0.117 0
    29 Amphitrite          1.827  0.093 -0.110 -0.037  0.176  0.003  0.004 0
    32 Pomona              2.156 -0.521  0.220  0.476  0.018 -0.277  0.038 0
    33 Polyhymnia          1.609 -1.433  0.598  0.164 -0.005  0.007 -0.055 0
    34 Circe              -1.906 -0.423  0.592 -0.163 -0.165 -0.135 -0.028 0
    37 Fides               1.532 -0.602  0.179  0.359 -0.112  0.035  0.046 0
    38 Leda               -1.825 -0.715  0.661 -0.665 -0.015 -0.048 -0.107 0
    39 Laetitia            2.758 -1.264  0.104 -0.292  0.012 -0.071  0.056 0
    40 Harmonia            2.313  0.035  0.307  0.357  0.093 -0.046  0.049 0
    41 Daphne             -1.297 -0.478  0.568 -0.340  0.011 -0.024 -0.019 0
    42 Isis                2.638 -0.858  0.109 -0.210  0.054 -0.086  0.151 0
    43 Ariadne             1.304 -2.052 -0.026 -0.012  0.003 -0.162  0.053 0
    44 Nysa               -1.774  0.594  0.063  0.562 -0.099  0.177  0.066 0
    45 Eugenia            -2.999 -0.290 -0.528  0.017  0.203  0.196  0.068 0
    46 Hestia             -1.398  0.907 -0.440  0.075 -0.137  0.129  0.093 0
    47 Aglaja             -2.897 -0.755 -0.073 -0.054  0.061 -0.020  0.045 0
    50 Virginia           -0.960  0.150  0.073  0.194 -0.079 -0.196 -0.123 0
    51 Nemausa            -0.088 -0.911  1.038 -0.843  0.032 -0.158 -0.070 0
    52 Europa             -3.062 -0.335 -0.007 -0.166 -0.123 -0.322 -0.041 0
    54 Alexandra          -1.745 -0.041  0.646 -0.143  0.096 -0.236 -0.005 0
    56 Melete             -0.537  1.231 -0.420  0.211  0.364 -0.075 -0.113 0
    57 Mnemosyne           1.796  0.086 -0.012  0.465  0.177  0.081 -0.007 0
    59 Elpis              -2.043  0.285 -0.117  0.014  0.060 -0.007 -0.009 0
    60 Echo                1.430 -0.745  0.283  0.712  0.120  0.152  0.148 0
