PC1   +0.753 +0.812 +0.902 +0.942 +0.869 +0.732 +0.719
PC2   -0.635 -0.570 -0.397  0.000 +0.439 +0.651 +0.615
PC3   +0.098 +0.088 +0.012 -0.264 -0.123 -0.001 +0.279
PC4   -0.071 -0.035 +0.009 +0.201 -0.137 -0.158 +0.165
PC5   +0.094 +0.009 -0.150 +0.020 +0.084 -0.073 +0.026
PC6   -0.054 -0.007 +0.071 -0.048 +0.103 -0.102 +0.018
PC7   +0.054 -0.081 +0.030 -0.002 -0.001 -0.002 +0.003
