SA 82-20     14 19 13.4  +14 54 58    0.549  9  0.409 10  0.199  7 12.571  9  0.180 10  0.280  9  0.354 13  0.371 11    2  3 - 14 16 49.8  +15 08 43  GSC    1 019M+  
SA 82-21     14 19 21.8  +15 09 57   -0.445 10 -0.469  7 -0.235  6 12.672  6 -0.057  5 -0.106  7 -0.112 10 -0.128  6    2  4 - 14 16 58.4  +15 23 43  GSC   83 01UT+  
SA 82-22     14 20 56.8  +15 10 21   -0.450  7 -0.463  4 -0.233  5 12.677  5 -0.079  3 -0.128  3 -0.141  5 -0.157  4    5  9 - 14 18 33.4  +15 24 03  GSC 1104 01UT   
AQUILA 07    19 02 20.5  +04 46 38   -0.029  8 -0.036  8 -0.025  7 10.082 11  0.024 17  0.016  9  0.025 19  0.027  7    4  5 - 18 59 52.0  +04 42 15  PPM 167037      
AQUILA 08    19 02 18.4  +04 47 42    0.476 12  0.372  9  0.187  7 10.401 10  0.198  5  0.324  5  0.400  7  0.451  9   13 14 - 18 59 50.0  +04 43 18  GSC  643 050U+  
AQUILA 12    19 01 57.8  +04 54 22   -0.121  3 -0.299  3 -0.277  3 11.125  3 -0.137  2 -0.196  3 -0.171  3 -0.193  3    6 15 - 18 59 29.5  +04 49 59  GSC  471 050U+  
AQUILA 15    19 01 01.9  +04 54 44   -0.176  4 -0.275  3 -0.154  3 11.364  4 -0.026  3 -0.028  3 -0.007  4 -0.012  4    6 15 - 18 58 33.6  +04 50 26  GSC  813 050U+  
AQUILA 17    19 01 11.4  +04 54 15   -0.162  4 -0.265  3 -0.144  3 11.482  4 -0.022  2 -0.020  4  0.005  3 -0.003  3    6 15 - 18 58 43.1  +04 49 56  GSC  805 050U+  
AQUILA 22    19 01 04.7  +04 54 55   -0.065  8 -0.131  7 -0.052  5 11.943  9  0.045  7  0.081  6  0.113  7  0.116  6    3  4 - 18 58 36.5  +04 50 36  GSC  965 03O6+  
AQUILA 23    19 01 03.2  +04 49 58    0.062  9 -0.059 12 -0.012  8 12.016  8  0.077  4  0.131  6  0.188  7  0.199  7    3  4 - 18 58 34.9  +04 45 39  GSC  701 050U+  
SA 114-223   22 40 31.4  +00 31 06   -0.291  9 -0.274  6 -0.117  5 10.602  7 -0.017  4 -0.025  6 -0.033  6 -0.040  6    7 15 - 22 37 57.8  +00 15 25  GSC 1868 04M8+  
SA 114-446   22 41 03.9  +00 46 02    0.118  7  0.102  7  0.045  6 12.068  6  0.058  4  0.100  6  0.094  6  0.100  7    7 15 - 22 38 30.4  +00 30 20  GSC 1632 04M8+  
SA 114-473   22 42 23.8  +00 46 14    1.087 10  0.932  6  0.341  5  8.502  6  0.210  5  0.361  5  0.407  7  0.468  7    7 15 - 22 39 50.2  +00 30 31  PPM 173341      
SA 114-790   22 43 43.7  +01 18 44    0.412 10  0.365  6  0.163  6 12.094  6  0.127  5  0.210  9  0.231  5  0.253  9    7 15 - 22 41 10.4  +01 02 58  GSC 1020 04M8+  
SAO 031898   19 41 48.9  +50 31 31   -0.025 12 -0.061 10 -0.030 24  5.960  9 -0.004 10 -0.002 16 -0.005 15 -0.006 18    6  6 * 19 40 29.1  +50 24 30  PPM 037671      
SAO 031899   19 41 52.0  +50 31 03   -0.007 14 -0.040 16 -0.030 11  6.217 10 -0.005  8  0.010 11  0.016  8  0.020 13   10 10 * 19 40 32.0  +50 24 03  PPM 037673      
SAO 049262   20 10 13.3  +43 56 45   -0.002 13 -0.024  9 -0.029  9  7.389 10  0.021 13  0.041 11  0.045 11  0.035 13    4  4 - 20 08 33.7  +43 47 44  PPM 059420      
SAO 093936   04 26 40.1  +16 44 49    0.000  7  0.007  5  0.006  5  8.073  4  0.005  4 -0.001  6 -0.001  4 -0.002  5   14 20 - 04 23 47.7  +16 38 07  PPM 119900      
SAO 094049   04 38 57.3  +14 06 20   -0.008  7  0.002  8 -0.004  4  7.927  5 -0.007  6 -0.013  6 -0.017  9 -0.018  8   10 12 - 04 36 07.6  +14 00 28  PPM 120102      
SAO 094114   04 46 30.4  +15 28 19    0.013  7  0.029  4  0.027  4  8.291  7  0.009  5  0.005  7  0.002  7 -0.002 12   10 13 - 04 43 38.9  +15 22 59  PPM 120238      
SAO 103395   18 07 18.6  +15 56 45   -0.045  6 -0.051  9 -0.009  9  8.642  6  0.019  4  0.011 11  0.033  6  0.033 11    5 10 * 18 05 04.1  +15 56 28  PPM 134288      
SAO 120107   13 46 57.9  +06 01 37   -0.014 11 -0.028  8 -0.018  8  9.240  5  0.028  5  0.015  4  0.036  7  0.034  7    7 16 - 13 44 27.5  +06 16 36  PPM 160047      
SAO 157111   12 09 28.5  -11 51 26   -0.048 14 -0.068 10 -0.051  7  6.833  8  0.029  7  0.015 12  0.021 15  0.013 12    4  4 * 12 06 53.2  -11 34 36  PPM 225434      
