0.330 0.0300   .43 .03
0.340 0.0220   .55 .03
0.355 0.0300   .62 .03
0.400 0.0245   .64 .03
0.430 0.0260   .70 .03
0.470 0.0252   .82 .03
0.500 0.0258   .87 .03
0.540 0.0265   .93 .03
0.570 0.0270  1.00 .03
0.600 0.0285  1.06 .03
0.635 0.0295  1.12 .04
0.670 0.0245  1.12 .09
0.700 0.0255  1.19 .04
0.730 0.0265  1.23 .05
0.765 0.0275  1.23 .05
0.800 0.0285  1.26 .03
0.830 0.0295  1.18 .03
0.870 0.0240  1.24 .03
0.900 0.0250  1.27 .03
0.930 0.0260  1.23 .04
0.970 0.0270  1.26 .04
1.000 0.0280  1.24 .04
1.030 0.0290  1.14 .06
