0.330 0.0300  1.00 .46
0.355 0.0300   .71 .24
0.400 0.0245   .94 .07
0.430 0.0260   .88 .03
0.470 0.0252   .93 .05
0.500 0.0258   .87 .03
0.540 0.0265   .91 .04
0.570 0.0270  1.09 .05
0.600 0.0285   .94 .03
0.635 0.0295  1.10 .05
0.670 0.0245  1.00 .07
0.700 0.0255  1.03 .03
0.730 0.0265  1.09 .09
0.765 0.0275  1.04 .07
0.800 0.0285   .91 .07
0.830 0.0295   .89 .13
