0.330 0.0300  1.20 .19
0.355 0.0300   .89 .18
0.400 0.0245   .93 .12
0.430 0.0260   .96 .09
0.470 0.0252   .90 .10
0.500 0.0258   .91 .06
0.540 0.0265  1.04 .09
0.570 0.0270  1.00 .10
0.600 0.0285   .95 .14
0.635 0.0295   .97 .08
0.670 0.0245   .82 .08
0.700 0.0255  1.04 .12
0.730 0.0265   .75 .17
0.765 0.0275  1.05 .32
0.800 0.0285   .87 .35
