0.330 0.0300  1.02 .08
0.355 0.0300   .89 .06
0.400 0.0245   .81 .03
0.430 0.0260   .85 .03
0.470 0.0252   .86 .04
0.500 0.0258   .97 .03
0.540 0.0265   .99 .04
0.570 0.0270   .98 .03
0.600 0.0285  1.05 .06
0.635 0.0295  1.10 .04
0.670 0.0245  1.06 .03
0.700 0.0255  1.15 .02
0.730 0.0265  1.20 .03
0.765 0.0275  1.19 .05
0.800 0.0285  1.06 .10
0.830 0.0295  1.07 .39
