 1 0.330  .0300   0.330  .0300 
 2 0.340  .0220   0.360  .0250 
 3 0.355  .0300   0.380  .0250 
 4 0.400  .0245   0.400  .0245 
 5 0.430  .0260   0.435  .0250 
 6 0.470  .0252   0.470  .0252 
 7 0.500  .0258   0.500  .0258 
 8 0.540  .0265   0.540  .0265 
 9 0.570  .0270   0.570  .0270 
10 0.600  .0285   0.600  .0285 
11 0.635  .0295   0.630  .0250 
12 0.670  .0245   0.670  .0245 
13 0.700  .0255   0.700  .0255 
14 0.730  .0265   0.735  .0250 
15 0.765  .0275   0.765  .0275 
16 0.800  .0285   0.800  .0285 
17 0.830  .0295   0.830  .0295 
18 0.870  .0240   0.875  .0250 
19 0.900  .0250   0.900  .0250 
20 0.930  .0260   0.930  .0260 
21 0.950  .0510   0.950  .0510 
22 0.970  .0270   0.970  .0270 
23 1.000  .0280   1.000  .0280 
24 1.030  .0290   1.030  .0290 
25 1.060  .0330   1.060  .0330 
26 1.100  .0300   1.100  .0300 
