Asteroid designations ( Number, Name, Temporary designation): 85804, -, 1998_WQ5
Observation was done on (UT) (format YYYY-MM-DD-hh): 2004 - 08 - 23 - 00:00
Observation was made by : Simone Ieva E-mail; 
At observatory with UAI code: 568
Obsv. comments: 
The spectrum was published in the article: Unpublished
The normalization of this spectrum was made for the wavelength: 1.250 microns.
Original name of the file was: 1998WQ5.txt
Wavelength[um]	Reflectance	sigma(optional)
0.8019 0.89917
0.8053 0.89057
0.8087 0.88896
0.8121 0.86125
0.8155 0.87134
0.8189 0.85722
0.8223 0.83389
0.8257 0.82113
0.8291 0.79985
0.8324 0.79516
0.8358 0.78151
0.8392 0.81701
0.8426 0.82845
0.8460 0.81052
0.8494 0.81820
0.8528 0.78334
0.8562 0.79733
0.8596 0.77724
0.8629 0.80636
0.8663 0.79798
0.8697 0.76812
0.8731 0.74506
0.8765 0.73833
0.8799 0.74051
0.8833 0.76000
0.8867 0.73887
0.8901 0.75745
0.8935 0.78656
0.8968 0.77980
0.9002 0.75977
0.9036 0.75739
0.9070 0.75316
0.9104 0.75117
0.9138 0.75311
0.9172 0.75369
0.9206 0.76891
0.9240 0.74916
0.9273 0.75651
0.9307 0.76953
0.9341 0.74310
0.9375 0.72627
0.9409 0.74490
0.9443 0.75918
0.9477 0.76905
0.9511 0.78793
0.9545 0.73650
0.9578 0.79676
0.9612 0.78134
0.9646 0.77487
0.9680 0.78066
0.9714 0.80824
0.9748 0.80510
0.9782 0.80255
0.9816 0.81614
0.9850 0.82813
0.9883 0.83414
0.9917 0.82690
0.9951 0.86641
0.9985 0.83889
1.0019 0.86551
1.0053 0.86445
1.0087 0.83244
1.0121 0.80678
1.0155 0.81495
1.0189 0.85385
1.0222 0.90477
1.0256 0.86658
1.0290 0.86293
1.0324 0.88777
1.0358 0.87611
1.0392 0.83300
1.0426 0.86662
1.0460 0.86366
1.0494 0.83761
1.0527 0.83393
1.0561 0.83490
1.0595 0.84331
1.0629 0.86821
1.0663 0.87563
1.0697 0.88329
1.0731 0.90535
1.0765 0.87776
1.0798 0.84598
1.0832 0.87656
1.0866 0.91704
1.0900 0.91954
1.0934 0.89603
1.0968 0.87938
1.1002 0.88032
1.1036 0.89078
1.1070 0.90806
1.1103 0.89395
1.1137 0.90089
1.1171 0.92330
1.1205 0.94149
1.1239 0.93601
1.1273 0.91006
1.1307 0.90631
1.1341 0.89504
1.1375 0.87108
1.1409 0.85889
1.1442 0.84418
1.1476 0.88714
1.1510 0.93299
1.1544 0.95680
1.1578 0.95370
1.1612 0.93680
1.1646 0.95961
1.1680 0.95296
1.1714 0.92885
1.1747 0.94683
1.1781 0.95619
1.1815 0.93922
1.1849 0.94662
1.1883 0.96469
1.1917 0.92786
1.1951 0.95106
1.1985 0.93983
1.2019 0.94846
1.2052 0.98622
1.2086 1.00333
1.2120 0.95575
1.2154 0.98624
1.2188 1.00978
1.2222 0.97574
1.2256 0.95409
1.2290 0.96079
1.2324 0.96188
1.2357 0.95787
1.2391 0.95829
1.2425 0.99622
1.2459 0.99964
1.2493 1.00000
1.2527 1.00077
1.2561 0.98982
1.2595 0.97356
1.2629 0.92699
1.2663 0.96429
1.2696 1.08513
1.2730 1.04262
1.2764 0.93809
1.2798 0.97203
1.2832 1.03419
1.2866 0.99779
1.2900 0.98687
1.2934 0.96988
1.2968 0.97676
1.3001 0.99658
1.3035 0.98953
1.3069 1.02703
1.3103 1.06929
1.3137 1.06108
1.3171 1.00056
1.3205 1.02304
1.3239 1.00735
1.3273 1.02718
1.3307 1.05926
1.3340 1.06433
1.3374 1.04733
1.3408 1.04728
1.3442 1.06444
1.3476 1.09251
1.3510 1.11227
1.3544 1.15057
1.3578 1.12888
1.3612 1.10479
1.3645 1.12426
1.3679 1.12582
1.3713 1.09292
1.3747 1.14186
1.3781 1.17960
1.3815 1.13523
1.3849 1.12048
1.3883 1.13885
1.3917 1.13093
1.3950 1.09512
1.3984 1.05445
1.4018 1.09561
1.4052 1.07612
1.4086 1.03434
1.4120 0.99724
1.4154 0.98815
1.4188 1.05761
1.4222 1.07096
1.4255 1.08113
1.4289 1.07673
1.4323 0.99036
1.4357 1.12029
1.4391 1.06490
1.4425 1.01619
1.4459 1.02399
1.4493 0.98767
1.4527 1.11848
1.4560 1.06655
1.4594 1.07661
1.4628 1.15738
1.4662 1.07570
1.4696 1.07366
1.4730 1.07843
1.4764 1.09302
1.4798 1.09129
1.4832 1.03759
1.4865 1.04867
1.4899 1.03321
1.4933 1.08407
1.4967 1.07172
1.5001 0.87944
1.5035 0.95691
1.5069 1.03782
1.5103 0.97934
1.5137 0.97086
1.5171 1.07882
1.5204 1.00138
1.5238 1.06252
1.5272 1.06351
1.5306 1.04030
1.5340 1.03867
1.5374 1.07582
1.5408 0.97622
1.5442 1.00917
1.5476 1.04046
1.5509 1.03156
1.5543 1.00629
1.5577 1.03801
1.5611 0.99836
1.5645 1.04569
1.5679 1.05132
1.5713 1.03580
1.5747 1.04396
1.5780 1.06801
1.5814 1.00231
1.5848 1.06512
1.5882 1.08312
1.5916 1.07387
1.5950 1.05123
1.5984 0.95626
1.6018 1.05069
1.6052 1.01157
1.6085 1.09261
1.6119 1.08000
1.6153 0.98753
1.6187 1.04276
1.6221 1.07983
1.6255 1.11495
1.6289 1.04445
1.6323 0.97378
1.6357 0.96190
1.6390 1.00344
1.6424 1.03762
1.6458 0.99399
1.6492 0.98187
1.6526 0.96493
1.6560 0.98185
1.6594 1.02162
1.6628 1.06278
1.6662 1.09151
1.6696 0.99774
1.6729 0.94372
1.6763 0.94261
1.6797 0.98722
1.6831 1.04917
1.6865 1.04977
1.6899 0.96392
1.6933 0.94020
1.6967 0.99266
1.7001 0.90590
1.7034 0.92688
1.7068 0.97282
1.7102 1.05172
1.7136 1.07646
1.7170 0.93579
1.7204 0.76309
1.7238 0.99385
1.7272 1.00259
1.7306 0.94042
1.7340 1.04601
1.7373 0.98011
1.7407 0.84859
1.7441 0.85617
1.7475 0.94780
1.7509 0.96606
1.7543 1.00221
1.7577 1.07455
1.7611 0.88198
1.7645 0.87376
1.7678 0.91664
1.7712 0.92850
1.7746 0.97112
1.7780 0.98013
1.7814 0.94000
1.7848 1.02107
1.7882 0.93584
1.7916 1.05809
1.7950 1.02672
1.7983 0.99312
1.8017 1.07395
1.8051 1.07124
1.8085 1.12800
1.8119 1.11793
1.8153 1.08483
1.8187 1.12724
1.8221 1.08938
1.8255 0.95259
1.8288 0.98276
1.8322 0.93386
1.8356 1.00438
1.8390 1.05633
1.8424 1.16514
1.8458 1.08272
1.8492 0.81527
1.8526 1.08629
1.8560 1.11117
1.8593 1.01199
1.8627 1.07708
1.8661 0.88693
1.8695 0.72172
1.8729 0.89247
1.8763 0.79767
1.8797 0.84293
1.8831 0.81567
1.8865 1.00855
1.8899 0.72817
1.8932 0.97985
1.8966 0.81357
1.9000 1.00602
1.9034 0.84188
1.9068 0.81335
1.9102 0.86646
1.9136 1.08245
