0.8289 2.5  1.1017    81
0.8533 2.5  1.1010   132
0.8776 2.5  1.1053    14
0.9021 2.5  1.1097    91
0.9265 2.5  1.1106    60
0.9510 2.5  1.1106    22
0.9755 2.5  1.1142    27
1.0001 2.5  1.1283    24
1.0247 2.5  1.1422    53
1.0493 2.5  1.1579    71
1.0740 2.5  1.1656    60
1.0987 2.5  1.1765    83
1.1234 2.5  1.1763    80
1.1482 2.5  1.1773     7
1.1730 2.5  1.1928    10
1.1978 2.5  1.1979    19
1.2227 2.5  1.2051   133
1.2476 2.5  1.2076    45
1.2726 2.5  1.2238    32
1.2976 2.5  1.2347    81
1.3226 2.5  1.2367    31
1.3476 2.5  1.2335    55
1.3727 2.5  1.2435    38
1.3978 2.5  1.2354   135
1.4230 2.5  1.2232    81
1.4482 2.5  1.2392   395
1.4734 2.5  1.2539    30
1.4910 5.0  1.2699   174
1.4987 2.5  1.2669    70
1.5240 2.5  1.2678    45
1.5490 2.5  1.2756    71
1.5520 5.0  1.2862    81
1.5747 2.5  1.2938    75
1.6001 2.5  1.2893   170
1.6150 5.0  1.3022    55
1.6750 5.0  1.2961    71
1.7350 5.0  1.3205    22
1.7950 5.0  1.3205     5
1.8530 5.0  1.3101     5
1.9130 5.0  1.3103    90
1.9700 5.0  1.3398    38
2.0280 5.0  1.3469    10
2.0840 5.0  1.3561    24
2.1400 5.0  1.3519     4
2.1960 5.0  1.3706    36
2.2520 5.0  1.3740    14
2.3060 5.0  1.3715    39
2.3610 5.0  1.3662   120
2.4140 5.0  1.3599    78
2.4660 5.0  1.3580   132
2.5190 5.0  1.3486   185
2.5700 5.0  1.3346   381
