0.8289 2.5  1.2190   187
0.8533 2.5  1.1912   115
0.8776 2.5  1.1843   311
0.9021 2.5  1.1044   492
0.9265 2.5  1.1209   182
0.9510 2.5  1.1397   172
0.9755 2.5  1.1602   137
1.0001 2.5  1.2349   300
1.0247 2.5  1.1998   257
1.0493 2.5  1.2080   186
1.0740 2.5  1.2323    58
1.0987 2.5  1.2579    81
1.1234 2.5  1.2913   139
1.1482 2.5  1.2988    18
1.1730 2.5  1.3188   252
1.1978 2.5  1.3746   176
1.2227 2.5  1.3984   176
1.2476 2.5  1.4003   208
1.2726 2.5  1.4094    81
1.2976 2.5  1.4694   190
1.3226 2.5  1.4276   184
1.3476 2.5  1.4287   743
1.3727 2.5  1.4820   645
1.3978 2.5  1.4778   364
1.4230 2.5  1.4409   681
1.4482 2.5  1.6134   674
1.4734 2.5  1.5527   399
1.4910 5.0  1.6157    79
1.4987 2.5  1.5973   153
1.5240 2.5  1.6099   168
1.5490 2.5  1.6526   277
1.5520 5.0  1.6249    53
1.5747 2.5  1.6391   214
1.6001 2.5  1.6112    56
1.6150 5.0  1.6254   127
1.6750 5.0  1.5804   215
1.7350 5.0  1.5783    82
1.7950 5.0  1.5619   383
1.8530 5.0  1.5648   300
1.9130 5.0  1.5869    13
1.9700 5.0  1.5591   151
2.0280 5.0  1.5815   185
2.0840 5.0  1.5802   268
2.1400 5.0  1.6122   104
2.1960 5.0  1.5744   195
2.2520 5.0  1.6202    88
2.3060 5.0  1.6325   136
2.3610 5.0  1.6569    96
2.4140 5.0  1.6854   280
2.4660 5.0  1.6154   317
2.5190 5.0  1.6152    90
2.5700 5.0  1.7869  1042
