/hardersen_et_al_2011/budrosa.tab          338 Budrosa        2006-07-30T10:18:00 2006-07-30T13:23:00 13.13 0.8 2:40:00  80 2.90 2.05 13.05 1.21 SAO 31899 
/hardersen_et_al_2011/pariana.tab          347 Pariana        2004-05-09T08:21:00 2004-05-09T12:29:00 11.98 0.8 UNK      19 2.36 1.37  5.87 1.34 SAO 120107
/hardersen_et_al_2011/aeria.tab            369 Aeria          2005-04-19T11:53:00 2005-04-19T15:03:00 13.17 0.8 0:54:00  27 2.75 2.04 17.13 1.34 SAO 120107
/hardersen_et_al_2011/dodona.tab           382 Dodona         2005-04-21T09:29:00 2005-04-21T10:24:00 12.27 0.8 0:20:00  20 2.58 1.59  5.16 1.32 SAO 120107
/hardersen_et_al_2011/edburga.tab          413 Edburga        2005-04-20T05:26:00 2005-04-20T09:32:00 15.80 0.8 0:28:00  14 3.47 2.72 12.50 1.16 SAO 120107
/hardersen_et_al_2011/suevia1.tab          417 Suevia         2005-08-20T08:47:00 2005-08-20T13:59:00 13.97 0.8 1:40:00  50 3.13 2.16  6.34 1.22 None      
/hardersen_et_al_2011/suevia2.tab          417 Suevia         2005-08-21T09:37:00 2005-08-21T13:06:00 13.95 0.8 0:32:00  16 3.13 2.15  6.00 1.12 None      
/hardersen_et_al_2011/alemannia1.tab       418 Alemannia      2007-01-23T10:34:00 2007-01-23T12:28:00 14.47 0.8 0:28:00  14 2.82 2.08 15.52 1.35 SAO 120107
/hardersen_et_al_2011/alemannia2.tab       418 Alemannia      2007-01-24T10:27:00 2007-01-24T13:32:00 14.45 0.8 2:20:00  70 2.82 2.08 15.27 1.34 SAO 120107
/hardersen_et_al_2011/bathilde.tab         441 Bathilde       2005-08-19T09:40:00 2005-08-19T11:47:00 12.80 0.8 0:22:30  30 2.97 1.98  5.54 1.25 None      
/hardersen_et_al_2011/iva.tab              497 Iva            2005-04-21T05:12:00 2005-04-21T08:13:00 16.02 0.8 0:40:00  20 3.45 3.01 16.08 1.09 SAO 120107
/hardersen_et_al_2011/cora1.tab            504 Cora           2007-01-22T05:05:00 2007-01-22T07:48:00 14.61 0.8 0:40:00  20 2.52 1.97 20.97 1.07 SAO 120107
/hardersen_et_al_2011/cora2.tab            504 Cora           2007-01-23T07:14:00 2007-01-23T07:51:00 14.63 0.8 0:20:00  10 2.53 1.98 21.10 1.11 SAO 120107
/hardersen_et_al_2011/amherstia.tab        516 Amherstia      2004-10-04T08:31:00 2004-10-04T09:06:00 13.12 0.8 0:14:00   7 3.28 2.32  5.59 1.10 HD 1835   
/hardersen_et_al_2011/carmen.tab           558 Carmen         2004-01-22T08:11:00 2004-01-22T11:27:00 12.89 0.8 1:15:00  50 2.80 1.82  2.43 1.14 HD 28099  
/hardersen_et_al_2011/mandeville.tab       739 Mandeville     2005-08-21T08:06:00 2005-08-21T08:53:00 12.78 0.8 0:16:00   8 3.02 2.02  3.92 1.35 None      
/hardersen_et_al_2011/mancunia.tab         758 Mancunia       2005-08-19T09:19:00 2005-08-19T12:12:00 12.59 0.8 0:40:00  40 3.12 2.12  3.43 1.30 None      
/hardersen_et_al_2011/moguntia.tab         766 Moguntia       2004-01-20T06:18:00 2004-01-20T10:23:00 14.47 0.8 0:38:00  19 2.77 1.90 11.69 1.12 HD 28099  
