 0.49881  1.033 -9.999
 0.49960  1.016 -9.999
 0.50038  1.031 -9.999
 0.50117  1.026 -9.999
 0.50196  1.021 -9.999
 0.50274  1.018 -9.999
 0.50353  1.022 -9.999
 0.50431  1.017 -9.999
 0.50510  1.004 -9.999
 0.50589  1.010 -9.999
 0.50667  1.005 -9.999
 0.50746  1.009 -9.999
 0.50824  1.014 -9.999
 0.50903  1.010 -9.999
 0.50981  1.008 -9.999
 0.51060  1.003 -9.999
 0.51139  1.005 -9.999
 0.51217  1.010 -9.999
 0.51296  1.012 -9.999
 0.51374  1.020 -9.999
 0.51453  1.019 -9.999
 0.51532  1.021 -9.999
 0.51610  1.021 -9.999
 0.51689  1.023 -9.999
 0.51767  1.011 -9.999
 0.51846  1.016 -9.999
 0.51925  1.015 -9.999
 0.52003  1.017 -9.999
 0.52082  1.015 -9.999
 0.52160  1.016 -9.999
 0.52239  1.026 -9.999
 0.52318  1.022 -9.999
 0.52396  1.015 -9.999
 0.52475  1.019 -9.999
 0.52553  1.029 -9.999
 0.52632  1.032 -9.999
 0.52710  1.021 -9.999
 0.52789  1.011 -9.999
 0.52868  1.009 -9.999
 0.52946  1.012 -9.999
 0.53025  1.020 -9.999
 0.53103  1.015 -9.999
 0.53182  1.013 -9.999
 0.53261  1.020 -9.999
 0.53339  1.014 -9.999
 0.53418  1.014 -9.999
 0.53496  1.012 -9.999
 0.53575  1.013 -9.999
 0.53654  1.013 -9.999
 0.53732  1.014 -9.999
 0.53811  1.020 -9.999
 0.53889  1.020 -9.999
 0.53968  1.024 -9.999
 0.54046  1.029 -9.999
 0.54125  1.019 -9.999
 0.54204  1.014 -9.999
 0.54282  1.023 -9.999
 0.54361  1.015 -9.999
 0.54439  1.016 -9.999
 0.54518  1.018 -9.999
 0.54597  1.017 -9.999
 0.54675  1.027 -9.999
 0.54754  1.031 -9.999
 0.54832  1.017 -9.999
 0.54911  1.019 -9.999
 0.54990  1.029 -9.999
 0.55068  1.029 -9.999
 0.55147  1.020 -9.999
 0.55225  1.024 -9.999
 0.55304  1.021 -9.999
 0.55382  1.027 -9.999
 0.55461  1.025 -9.999
 0.55540  1.018 -9.999
 0.55618  1.018 -9.999
 0.55697  1.023 -9.999
 0.55775  1.019 -9.999
 0.55854  1.028 -9.999
 0.55933  1.026 -9.999
 0.56011  1.013 -9.999
 0.56090  1.012 -9.999
 0.56168  1.014 -9.999
 0.56247  1.023 -9.999
 0.56326  1.023 -9.999
 0.56404  1.022 -9.999
 0.56483  1.031 -9.999
 0.56561  1.030 -9.999
 0.56640  1.029 -9.999
 0.56718  1.021 -9.999
 0.56797  1.022 -9.999
 0.56876  1.025 -9.999
 0.56954  1.019 -9.999
 0.57033  1.021 -9.999
 0.57111  1.016 -9.999
 0.57190  1.010 -9.999
 0.57269  1.006 -9.999
 0.57347  1.008 -9.999
 0.57426  1.012 -9.999
 0.57504  1.016 -9.999
 0.57583  1.016 -9.999
 0.57662  1.014 -9.999
 0.57740  1.012 -9.999
 0.57819  1.017 -9.999
 0.57897  1.012 -9.999
 0.57976  1.011 -9.999
 0.58054  1.014 -9.999
 0.58133  1.009 -9.999
 0.58212  1.011 -9.999
 0.58290  1.007 -9.999
 0.58369  0.996 -9.999
 0.58447  1.003 -9.999
 0.58526  1.018 -9.999
 0.58605  1.006 -9.999
 0.58683  1.002 -9.999
 0.58762  1.002 -9.999
 0.58840  1.015 -9.999
 0.58919  1.017 -9.999
 0.58998  1.006 -9.999
 0.59076  1.010 -9.999
 0.59155  1.005 -9.999
 0.59233  1.007 -9.999
 0.59312  1.009 -9.999
 0.59391  1.001 -9.999
 0.59469  1.007 -9.999
 0.59548  1.010 -9.999
 0.59626  1.008 -9.999
 0.59705  1.007 -9.999
 0.59783  1.010 -9.999
 0.59862  1.010 -9.999
 0.59941  1.006 -9.999
 0.60019  1.008 -9.999
 0.60098  1.011 -9.999
 0.60176  1.003 -9.999
 0.60255  1.001 -9.999
 0.60334  1.003 -9.999
 0.60412  0.999 -9.999
 0.60491  1.004 -9.999
 0.60569  0.999 -9.999
 0.60648  1.004 -9.999
 0.60727  0.999 -9.999
 0.60805  1.006 -9.999
 0.60884  1.003 -9.999
 0.60962  1.009 -9.999
 0.61041  1.004 -9.999
 0.61119  1.002 -9.999
 0.61198  1.007 -9.999
 0.61277  1.009 -9.999
 0.61355  1.006 -9.999
 0.61434  1.006 -9.999
 0.61512  1.007 -9.999
 0.61591  1.008 -9.999
 0.61670  1.007 -9.999
 0.61748  1.002 -9.999
 0.61827  1.001 -9.999
 0.61905  1.003 -9.999
 0.61984  0.998 -9.999
 0.62063  1.000 -9.999
 0.62141  1.001 -9.999
 0.62220  0.999 -9.999
 0.62298  1.001 -9.999
 0.62377  1.004 -9.999
 0.62455  1.006 -9.999
 0.62534  1.004 -9.999
 0.62613  0.998 -9.999
 0.62691  1.000 -9.999
 0.62770  1.002 -9.999
 0.62848  0.999 -9.999
 0.62927  1.002 -9.999
 0.63006  1.001 -9.999
 0.63084  1.006 -9.999
 0.63163  1.004 -9.999
 0.63241  1.001 -9.999
 0.63320  1.003 -9.999
 0.63399  1.003 -9.999
 0.63477  1.005 -9.999
 0.63556  1.007 -9.999
 0.63634  1.010 -9.999
 0.63713  1.000 -9.999
 0.63791  0.997 -9.999
 0.63870  1.002 -9.999
 0.63949  0.995 -9.999
 0.64027  1.004 -9.999
 0.64106  1.004 -9.999
 0.64184  1.004 -9.999
 0.64263  0.998 -9.999
 0.64342  1.000 -9.999
 0.64420  1.000 -9.999
 0.64499  0.999 -9.999
 0.64577  1.001 -9.999
 0.64656  0.993 -9.999
 0.64735  0.993 -9.999
 0.64813  0.998 -9.999
 0.64892  1.001 -9.999
 0.64970  1.001 -9.999
 0.65049  0.998 -9.999
 0.65127  1.002 -9.999
 0.65206  0.996 -9.999
 0.65285  0.995 -9.999
 0.65363  0.998 -9.999
 0.65442  0.996 -9.999
 0.65520  1.006 -9.999
 0.65599  1.006 -9.999
 0.65678  0.999 -9.999
 0.65756  0.997 -9.999
 0.65835  1.000 -9.999
 0.65913  0.995 -9.999
 0.65992  0.998 -9.999
 0.66071  0.997 -9.999
 0.66149  0.996 -9.999
 0.66228  0.997 -9.999
 0.66306  0.997 -9.999
 0.66385  0.999 -9.999
 0.66464  0.998 -9.999
 0.66542  0.994 -9.999
 0.66621  0.997 -9.999
 0.66699  0.997 -9.999
 0.66778  0.993 -9.999
 0.66856  0.990 -9.999
 0.66935  1.000 -9.999
 0.67014  0.997 -9.999
 0.67092  0.995 -9.999
 0.67171  0.999 -9.999
 0.67249  0.998 -9.999
 0.67328  1.000 -9.999
 0.67407  1.003 -9.999
 0.67485  0.993 -9.999
 0.67564  0.997 -9.999
 0.67642  0.993 -9.999
 0.67721  0.997 -9.999
 0.67800  0.998 -9.999
 0.67878  0.999 -9.999
 0.67957  1.000 -9.999
 0.68035  0.995 -9.999
 0.68114  0.990 -9.999
 0.68192  0.994 -9.999
 0.68271  0.995 -9.999
 0.68350  1.000 -9.999
 0.68428  1.001 -9.999
 0.68507  0.999 -9.999
 0.68585  0.999 -9.999
 0.68664  0.999 -9.999
 0.68743  1.008 -9.999
 0.68821  1.004 -9.999
 0.68900  0.998 -9.999
 0.68978  0.998 -9.999
 0.69057  1.004 -9.999
 0.69136  1.000 -9.999
 0.69214  0.997 -9.999
 0.69293  0.999 -9.999
 0.69371  0.998 -9.999
 0.69450  1.000 -9.999
 0.69528  0.998 -9.999
 0.69607  0.990 -9.999
 0.69686  1.004 -9.999
 0.69764  1.007 -9.999
 0.69843  0.999 -9.999
 0.69921  0.998 -9.999
 0.70000  1.006 -9.999
 0.70079  1.003 -9.999
 0.70157  1.006 -9.999
 0.70236  1.005 -9.999
 0.70314  1.002 -9.999
 0.70393  1.002 -9.999
 0.70472  1.001 -9.999
 0.70550  1.001 -9.999
 0.70629  1.002 -9.999
 0.70707  0.999 -9.999
 0.70786  1.003 -9.999
 0.70864  1.008 -9.999
 0.70943  0.998 -9.999
 0.71022  0.999 -9.999
 0.71100  1.003 -9.999
 0.71179  0.999 -9.999
 0.71257  0.999 -9.999
 0.71336  1.002 -9.999
 0.71415  0.998 -9.999
 0.71493  0.998 -9.999
 0.71572  1.002 -9.999
 0.71650  1.005 -9.999
 0.71729  1.008 -9.999
 0.71808  1.010 -9.999
 0.71886  1.013 -9.999
 0.71965  1.009 -9.999
 0.72043  1.002 -9.999
 0.72122  1.001 -9.999
 0.72200  1.009 -9.999
 0.72279  1.005 -9.999
 0.72358  1.003 -9.999
 0.72436  1.009 -9.999
 0.72515  1.007 -9.999
 0.72593  1.002 -9.999
 0.72672  1.012 -9.999
 0.72751  1.012 -9.999
 0.72829  1.012 -9.999
 0.72908  1.010 -9.999
 0.72986  1.003 -9.999
 0.73065  1.007 -9.999
 0.73144  1.004 -9.999
 0.73222  1.003 -9.999
 0.73301  1.007 -9.999
 0.73379  1.008 -9.999
 0.73458  1.007 -9.999
 0.73536  1.009 -9.999
 0.73615  1.017 -9.999
 0.73694  1.008 -9.999
 0.73772  1.008 -9.999
 0.73851  1.011 -9.999
 0.73929  1.011 -9.999
 0.74008  1.011 -9.999
 0.74087  1.012 -9.999
 0.74165  1.017 -9.999
 0.74244  1.010 -9.999
 0.74322  1.006 -9.999
 0.74401  1.013 -9.999
 0.74480  1.011 -9.999
 0.74558  1.006 -9.999
 0.74637  1.014 -9.999
 0.74715  1.015 -9.999
 0.74794  1.013 -9.999
 0.74873  1.005 -9.999
 0.74951  1.010 -9.999
 0.75030  1.016 -9.999
 0.75108  1.012 -9.999
 0.75187  1.013 -9.999
 0.75265  1.015 -9.999
 0.75344  1.011 -9.999
 0.75423  1.014 -9.999
 0.75501  1.015 -9.999
 0.75580  1.016 -9.999
 0.75658  1.014 -9.999
 0.75737  1.017 -9.999
 0.75816  1.010 -9.999
 0.75894  1.001 -9.999
 0.75973  1.003 -9.999
 0.76051  1.034 -9.999
 0.76130  1.021 -9.999
 0.76209  1.016 -9.999
 0.76287  1.021 -9.999
 0.76366  1.013 -9.999
 0.76444  1.019 -9.999
 0.76523  1.022 -9.999
 0.76601  1.023 -9.999
 0.76680  1.019 -9.999
 0.76759  1.016 -9.999
 0.76837  1.013 -9.999
 0.76916  1.014 -9.999
 0.76994  1.012 -9.999
 0.77073  1.019 -9.999
 0.77152  1.018 -9.999
 0.77230  1.013 -9.999
 0.77309  1.014 -9.999
 0.77387  1.017 -9.999
 0.77466  1.017 -9.999
 0.77545  1.013 -9.999
 0.77623  1.013 -9.999
 0.77702  1.013 -9.999
 0.77780  1.014 -9.999
 0.77859  1.009 -9.999
 0.77937  1.017 -9.999
 0.78016  1.022 -9.999
 0.78095  1.018 -9.999
 0.78173  1.014 -9.999
 0.78252  1.011 -9.999
 0.78330  1.018 -9.999
 0.78409  1.018 -9.999
 0.78488  1.018 -9.999
 0.78566  1.023 -9.999
 0.78645  1.018 -9.999
 0.78723  1.015 -9.999
 0.78802  1.014 -9.999
 0.78881  1.013 -9.999
 0.78959  1.017 -9.999
 0.79038  1.017 -9.999
 0.79116  1.026 -9.999
 0.79195  1.021 -9.999
 0.79273  1.028 -9.999
 0.79352  1.029 -9.999
 0.79431  1.027 -9.999
 0.79509  1.024 -9.999
 0.79588  1.018 -9.999
 0.79666  1.012 -9.999
 0.79745  1.022 -9.999
 0.79824  1.024 -9.999
 0.79902  1.023 -9.999
 0.79981  1.026 -9.999
 0.80059  1.023 -9.999
 0.80138  1.024 -9.999
 0.80217  1.025 -9.999
 0.80295  1.025 -9.999
 0.80374  1.020 -9.999
 0.80452  1.026 -9.999
 0.80531  1.030 -9.999
 0.80609  1.024 -9.999
 0.80688  1.025 -9.999
 0.80767  1.024 -9.999
 0.80845  1.033 -9.999
 0.80924  1.034 -9.999
 0.81002  1.029 -9.999
 0.81081  1.023 -9.999
 0.81160  1.024 -9.999
 0.81238  1.021 -9.999
 0.81317  1.020 -9.999
 0.81395  1.022 -9.999
 0.81474  1.022 -9.999
 0.81553  1.023 -9.999
 0.81631  1.024 -9.999
 0.81710  1.032 -9.999
 0.81788  1.030 -9.999
 0.81867  1.032 -9.999
 0.81946  1.038 -9.999
 0.82024  1.035 -9.999
 0.82103  1.025 -9.999
 0.82181  1.030 -9.999
 0.82260  1.021 -9.999
 0.82338  1.026 -9.999
 0.82417  1.031 -9.999
 0.82496  1.030 -9.999
 0.82574  1.019 -9.999
 0.82653  1.027 -9.999
 0.82731  1.030 -9.999
 0.82810  1.025 -9.999
 0.82889  1.027 -9.999
 0.82967  1.031 -9.999
 0.83046  1.034 -9.999
 0.83124  1.033 -9.999
 0.83203  1.031 -9.999
 0.83282  1.034 -9.999
 0.83360  1.038 -9.999
 0.83439  1.032 -9.999
 0.83517  1.030 -9.999
 0.83596  1.029 -9.999
 0.83675  1.022 -9.999
 0.83753  1.023 -9.999
 0.83832  1.033 -9.999
 0.83910  1.036 -9.999
 0.83989  1.027 -9.999
 0.84068  1.031 -9.999
 0.84146  1.024 -9.999
 0.84225  1.028 -9.999
 0.84303  1.029 -9.999
 0.84382  1.031 -9.999
 0.84461  1.037 -9.999
 0.84539  1.030 -9.999
 0.84618  1.031 -9.999
 0.84696  1.030 -9.999
 0.84775  1.030 -9.999
 0.84853  1.034 -9.999
 0.84932  1.041 -9.999
