 0.49950  0.789 -9.999
 0.50040  0.844 -9.999
 0.50130  0.821 -9.999
 0.50220  0.810 -9.999
 0.50310  0.820 -9.999
 0.50410  0.817 -9.999
 0.50500  0.776 -9.999
 0.50590  0.808 -9.999
 0.50680  0.831 -9.999
 0.50770  0.830 -9.999
 0.50860  0.845 -9.999
 0.50950  0.855 -9.999
 0.51040  0.851 -9.999
 0.51130  0.860 -9.999
 0.51230  0.885 -9.999
 0.51320  0.873 -9.999
 0.51410  0.889 -9.999
 0.51500  0.908 -9.999
 0.51590  0.789 -9.999
 0.51680  0.811 -9.999
 0.51770  0.837 -9.999
 0.51860  0.841 -9.999
 0.51950  0.823 -9.999
 0.52050  0.827 -9.999
 0.52140  0.849 -9.999
 0.52230  0.844 -9.999
 0.52320  0.860 -9.999
 0.52410  0.823 -9.999
 0.52500  0.853 -9.999
 0.52590  0.895 -9.999
 0.52680  0.853 -9.999
 0.52770  0.835 -9.999
 0.52870  0.834 -9.999
 0.52960  0.848 -9.999
 0.53050  0.869 -9.999
 0.53140  0.863 -9.999
 0.53230  0.857 -9.999
 0.53320  0.866 -9.999
 0.53410  0.858 -9.999
 0.53500  0.847 -9.999
 0.53600  0.853 -9.999
 0.53690  0.826 -9.999
 0.53780  0.845 -9.999
 0.53870  0.868 -9.999
 0.53960  0.859 -9.999
 0.54050  0.858 -9.999
 0.54140  0.870 -9.999
 0.54230  0.876 -9.999
 0.54320  0.882 -9.999
 0.54420  0.874 -9.999
 0.54510  0.835 -9.999
 0.54600  0.848 -9.999
 0.54690  0.873 -9.999
 0.54780  0.880 -9.999
 0.54870  0.895 -9.999
 0.54960  0.901 -9.999
 0.55050  0.885 -9.999
 0.55140  0.868 -9.999
 0.55240  0.867 -9.999
 0.55330  0.869 -9.999
 0.55420  0.869 -9.999
 0.55510  0.859 -9.999
 0.55600  0.869 -9.999
 0.55690  0.854 -9.999
 0.55780  0.857 -9.999
 0.55870  0.869 -9.999
 0.55960  0.880 -9.999
 0.56060  0.890 -9.999
 0.56150  0.883 -9.999
 0.56240  0.883 -9.999
 0.56330  0.895 -9.999
 0.56420  0.878 -9.999
 0.56510  0.900 -9.999
 0.56600  0.893 -9.999
 0.56690  0.875 -9.999
 0.56790  0.893 -9.999
 0.56880  0.912 -9.999
 0.56970  0.904 -9.999
 0.57060  0.893 -9.999
 0.57150  0.897 -9.999
 0.57240  0.899 -9.999
 0.57330  0.895 -9.999
 0.57420  0.925 -9.999
 0.57510  0.914 -9.999
 0.57610  0.904 -9.999
 0.57700  0.912 -9.999
 0.57790  0.903 -9.999
 0.57880  0.901 -9.999
 0.57970  0.896 -9.999
 0.58060  0.891 -9.999
 0.58150  0.900 -9.999
 0.58240  0.905 -9.999
 0.58330  0.889 -9.999
 0.58430  0.890 -9.999
 0.58520  0.907 -9.999
 0.58610  0.902 -9.999
 0.58700  0.899 -9.999
 0.58790  0.907 -9.999
 0.58880  0.902 -9.999
 0.58970  0.893 -9.999
 0.59060  0.884 -9.999
 0.59150  0.903 -9.999
 0.59250  0.908 -9.999
 0.59340  0.899 -9.999
 0.59430  0.908 -9.999
 0.59520  0.907 -9.999
 0.59610  0.905 -9.999
 0.59700  0.902 -9.999
 0.59790  0.909 -9.999
 0.59880  0.911 -9.999
 0.59970  0.908 -9.999
 0.60070  0.913 -9.999
 0.60160  0.915 -9.999
 0.60250  0.906 -9.999
 0.60340  0.899 -9.999
 0.60430  0.913 -9.999
 0.60520  0.921 -9.999
 0.60610  0.916 -9.999
 0.60700  0.915 -9.999
 0.60800  0.921 -9.999
 0.60890  0.922 -9.999
 0.60980  0.930 -9.999
 0.61070  0.921 -9.999
 0.61160  0.911 -9.999
 0.61250  0.925 -9.999
 0.61340  0.927 -9.999
 0.61430  0.916 -9.999
 0.61520  0.929 -9.999
 0.61620  0.928 -9.999
 0.61710  0.920 -9.999
 0.61800  0.919 -9.999
 0.61890  0.924 -9.999
 0.61980  0.932 -9.999
 0.62070  0.940 -9.999
 0.62160  0.949 -9.999
 0.62250  0.938 -9.999
 0.62340  0.941 -9.999
 0.62440  0.937 -9.999
 0.62530  0.930 -9.999
 0.62620  0.930 -9.999
 0.62710  0.940 -9.999
 0.62800  0.951 -9.999
 0.62890  0.934 -9.999
 0.62980  0.942 -9.999
 0.63070  0.955 -9.999
 0.63160  0.957 -9.999
 0.63260  0.942 -9.999
 0.63350  0.948 -9.999
 0.63440  0.945 -9.999
 0.63530  0.949 -9.999
 0.63620  0.952 -9.999
 0.63710  0.943 -9.999
 0.63800  0.935 -9.999
 0.63890  0.943 -9.999
 0.63980  0.946 -9.999
 0.64080  0.954 -9.999
 0.64170  0.970 -9.999
 0.64260  0.972 -9.999
 0.64350  0.959 -9.999
 0.64440  0.953 -9.999
 0.64530  0.959 -9.999
 0.64620  0.955 -9.999
 0.64710  0.946 -9.999
 0.64810  0.949 -9.999
 0.64900  0.953 -9.999
 0.64990  0.960 -9.999
 0.65080  0.957 -9.999
 0.65170  0.968 -9.999
 0.65260  0.964 -9.999
 0.65350  0.955 -9.999
 0.65440  0.950 -9.999
 0.65530  0.961 -9.999
 0.65630  0.965 -9.999
 0.65720  0.978 -9.999
 0.65810  0.955 -9.999
 0.65900  0.954 -9.999
 0.65990  0.957 -9.999
 0.66080  0.961 -9.999
 0.66170  0.955 -9.999
 0.66260  0.967 -9.999
 0.66350  0.967 -9.999
 0.66450  0.958 -9.999
 0.66540  0.957 -9.999
 0.66630  0.962 -9.999
 0.66720  0.957 -9.999
 0.66810  0.968 -9.999
 0.66900  0.962 -9.999
 0.66990  0.970 -9.999
 0.67080  0.966 -9.999
 0.67170  0.971 -9.999
 0.67270  0.978 -9.999
 0.67360  0.977 -9.999
 0.67450  0.981 -9.999
 0.67540  0.997 -9.999
 0.67630  0.986 -9.999
 0.67720  0.983 -9.999
 0.67810  0.970 -9.999
 0.67900  0.981 -9.999
 0.67990  0.988 -9.999
 0.68090  0.986 -9.999
 0.68180  0.986 -9.999
 0.68270  0.991 -9.999
 0.68360  0.991 -9.999
 0.68450  0.991 -9.999
 0.68540  0.996 -9.999
 0.68630  0.984 -9.999
 0.68720  0.995 -9.999
 0.68820  0.988 -9.999
 0.68910  0.989 -9.999
 0.69000  0.983 -9.999
 0.69090  0.983 -9.999
 0.69180  0.987 -9.999
 0.69270  0.990 -9.999
 0.69360  0.986 -9.999
 0.69450  0.978 -9.999
 0.69540  0.995 -9.999
 0.69640  0.991 -9.999
 0.69730  1.000 -9.999
 0.69820  1.005 -9.999
 0.69910  1.003 -9.999
 0.70000  1.004 -9.999
 0.70090  1.008 -9.999
 0.70180  1.007 -9.999
 0.70270  1.008 -9.999
 0.70360  1.009 -9.999
 0.70460  1.007 -9.999
 0.70550  0.997 -9.999
 0.70640  1.009 -9.999
 0.70730  1.008 -9.999
 0.70820  1.001 -9.999
 0.70910  1.007 -9.999
 0.71000  1.014 -9.999
 0.71090  1.012 -9.999
 0.71180  1.006 -9.999
 0.71280  1.005 -9.999
 0.71370  1.007 -9.999
 0.71460  1.006 -9.999
 0.71550  1.016 -9.999
 0.71640  1.008 -9.999
 0.71730  1.009 -9.999
 0.71820  1.011 -9.999
 0.71910  1.016 -9.999
 0.72010  1.021 -9.999
 0.72100  1.024 -9.999
 0.72190  1.016 -9.999
 0.72280  1.022 -9.999
 0.72370  1.011 -9.999
 0.72460  1.016 -9.999
 0.72550  1.017 -9.999
 0.72640  1.017 -9.999
 0.72730  1.023 -9.999
 0.72830  1.024 -9.999
 0.72920  1.018 -9.999
 0.73010  1.025 -9.999
 0.73100  1.039 -9.999
 0.73190  1.025 -9.999
 0.73280  1.036 -9.999
 0.73370  1.022 -9.999
 0.73460  1.020 -9.999
 0.73550  1.025 -9.999
 0.73650  1.018 -9.999
 0.73740  1.022 -9.999
 0.73830  1.024 -9.999
 0.73920  1.033 -9.999
 0.74010  1.036 -9.999
 0.74100  1.040 -9.999
 0.74190  1.037 -9.999
 0.74280  1.024 -9.999
 0.74370  1.038 -9.999
 0.74470  1.044 -9.999
 0.74560  1.034 -9.999
 0.74650  1.026 -9.999
 0.74740  1.025 -9.999
 0.74830  1.031 -9.999
 0.74920  1.031 -9.999
 0.75010  1.030 -9.999
 0.75100  1.026 -9.999
 0.75190  1.028 -9.999
 0.75290  1.036 -9.999
 0.75380  1.039 -9.999
 0.75470  1.046 -9.999
 0.75560  1.042 -9.999
 0.75650  1.047 -9.999
 0.75740  1.033 -9.999
 0.75830  1.034 -9.999
 0.75920  1.043 -9.999
 0.76020  1.039 -9.999
 0.76110  1.046 -9.999
 0.76200  1.060 -9.999
 0.76290  1.056 -9.999
 0.76380  1.053 -9.999
 0.76470  1.051 -9.999
 0.76560  1.048 -9.999
 0.76650  1.040 -9.999
 0.76740  1.055 -9.999
 0.76840  1.053 -9.999
 0.76930  1.038 -9.999
 0.77020  1.064 -9.999
 0.77110  1.064 -9.999
 0.77200  1.050 -9.999
 0.77290  1.052 -9.999
 0.77380  1.067 -9.999
 0.77470  1.057 -9.999
 0.77560  1.050 -9.999
 0.77660  1.059 -9.999
 0.77750  1.063 -9.999
 0.77840  1.063 -9.999
 0.77930  1.066 -9.999
 0.78020  1.069 -9.999
 0.78110  1.065 -9.999
 0.78200  1.054 -9.999
 0.78290  1.052 -9.999
 0.78380  1.062 -9.999
 0.78480  1.048 -9.999
 0.78570  1.071 -9.999
 0.78660  1.089 -9.999
 0.78750  1.079 -9.999
 0.78840  1.073 -9.999
 0.78930  1.068 -9.999
 0.79020  1.058 -9.999
 0.79110  1.056 -9.999
 0.79200  1.078 -9.999
 0.79300  1.072 -9.999
 0.79390  1.075 -9.999
 0.79480  1.089 -9.999
 0.79570  1.070 -9.999
 0.79660  1.088 -9.999
 0.79750  1.065 -9.999
 0.79840  1.057 -9.999
 0.79930  1.072 -9.999
 0.80030  1.076 -9.999
 0.80120  1.071 -9.999
 0.80210  1.074 -9.999
 0.80300  1.091 -9.999
 0.80390  1.076 -9.999
 0.80480  1.077 -9.999
 0.80570  1.092 -9.999
 0.80660  1.086 -9.999
 0.80750  1.075 -9.999
 0.80850  1.076 -9.999
 0.80940  1.079 -9.999
 0.81030  1.085 -9.999
 0.81120  1.079 -9.999
 0.81210  1.097 -9.999
 0.81300  1.083 -9.999
 0.81390  1.091 -9.999
 0.81480  1.085 -9.999
 0.81570  1.086 -9.999
 0.81670  1.088 -9.999
 0.81760  1.103 -9.999
 0.81850  1.106 -9.999
 0.81940  1.092 -9.999
 0.82030  1.093 -9.999
 0.82120  1.092 -9.999
 0.82210  1.081 -9.999
 0.82300  1.100 -9.999
 0.82390  1.102 -9.999
 0.82490  1.095 -9.999
 0.82580  1.092 -9.999
 0.82670  1.094 -9.999
 0.82760  1.083 -9.999
 0.82850  1.093 -9.999
 0.82940  1.088 -9.999
 0.83030  1.119 -9.999
 0.83120  1.087 -9.999
 0.83220  1.132 -9.999
 0.83310  1.128 -9.999
 0.83400  1.112 -9.999
 0.83490  1.106 -9.999
 0.83580  1.095 -9.999
 0.83670  1.106 -9.999
 0.83760  1.114 -9.999
 0.83850  1.093 -9.999
 0.83940  1.103 -9.999
 0.84040  1.104 -9.999
 0.84130  1.085 -9.999
 0.84220  1.081 -9.999
 0.84310  1.082 -9.999
 0.84400  1.103 -9.999
 0.84490  1.096 -9.999
