267,Tirza,267tirza_irtf_spex.csv,2017-11-03T05:25:26,2017-11-03T05:50:56,11,1320,15.14,20.88,2.25,2.68,HD1368,HD 208866,0.8,1.292
336,Lacadiera,336lacadiera_irtf_spex.csv,2017-08-06T14:59:46,2017-08-06T15:12:41,10,600,13.47,23.22,1.51,2.21,SAO93936,HD 3349,0.8,1.052
368,Haidea,368haidea_irtf_spex.csv,2018-08-20T14:47:54,2018-08-20T15:09:33,6,720,15.09,21.53,2.42,2.73,SAO93936,SAO75739,0.8,1.02
721,Tabora,721tabora_irtf_spex.csv,2018-08-20T13:52:06,2018-08-20T14:11:32,6,660,14.34,11.21,2.35,3.21,SAO93936,HD 2914,0.8,1.14
773,Irmintraud,773irmintraud_irtf_spex.csv,2018-08-20T08:47:24,2018-08-20T09:00:50,7,490,13.01,9.77,1.7,2.65,SAO93936,HD 192526,0.8,1.421
884,Priamus ,884priamus_irtf_spex.csv,2017-12-31T13:27:32,2017-12-31T13:52:09,6,870,16.59,9.4,4.97,5.45,SAO93936,SAO118537,0.8,1.107
1167,Dubiago,1167dubiago_irtf_spex.csv,2018-08-20T09:34:11,2018-08-20T09:55:04,8,960,14.8,9.94,2.28,3.19,SAO93936,HD 185513,0.8,1.285
1256,Normannia,1256normannia_irtf_spex.csv,2017-08-05T14:31:48,2017-08-05T14:56:41,6,720,15.25,9.81,2.73,3.59,None,HD 219051,0.8,1.222
1269,Rollandia ,1269rollandia_irtf_spex.csv,2017-12-31T06:48:25,2017-12-31T07:09:18,10,1200,14.63,8.17,2.94,3.79,SAO93936,HD 27834,0.8,1.05
1542,Schalen,1542schalen_irtf_spex.csv,2017-10-12T07:00:36,2017-10-12T07:28:07,11,1320,15.47,18.16,2.18,2.8,SAO93936,HD 201691,0.8,1.209
1583,Antilochus,1583antilochus_irtf_spex.csv,2018-08-20T10:47:50,2018-08-20T11:11:46,7,980,15.85,7.08,4.32,5.15,SAO93936,HD 355267,0.8,1.174
1702,Kalahari,1702kalahari_irtf_spex.csv,2019-01-21T12:59:46,2019-01-21T13:27:40,9,1350,16.44,13.8,2.57,3.26,SAO120107,HD 102495,0.8,1.054
1746,Brouwer,1746brouwer_irtf_spex.csv,2018-08-20T12:18:49,2018-08-20T12:39:42,6,720,14.54,2.74,2.23,3.24,SAO93936,HD 211706,0.8,1.207
2207,Antenor ,2207antenor_irtf_spex.csv,2017-12-31T15:32:45,2017-12-31T15:51:54,7,1015,16.57,11.01,4.91,5.12,SAO93936,HD 106914,0.8,1.06
2208,Pushkin,2208pushkin_irtf_spex.csv,2017-12-31T04:56:03,2017-12-31T05:21:27,8,1200,16.77,15.24,2.88,3.41,SAO93936,HD 13303,0.8,1.047
2246,Bowell ,2246bowell_irtf_spex.csv,2017-12-31T05:52:03,2017-12-31T06:17:26,10,1500,16.82,9.59,3.29,4.05,SAO93936,HD 24179,0.8,1.098
2266,Tchaikovsky,2266tchaikovsky_irtf_spex.csv,2017-08-06T14:13:54,2017-08-06T14:36:46,6,720,16.16,13.95,2.51,3.25,SAO93936,HD 223539,0.8,1.054
2311,ElLeoncito,2311elleoncito_irtf_spex.csv,2016-12-29T05:00:54,2016-12-29T05:41:08,12,2400,16.3,11.78,2.85,3.59,SAO93936,HIP15904,0.8,1.112
2357,Phereclos,2357phereclos_irtf_spex.csv,2019-01-21T15:18:25,2019-01-21T15:46:19,10,1500,16.61,11.11,4.89,5.09,SAO120107,HD 119026,0.8,1.158
2674,Pandarus,2674pandarus_irtf_spex.csv,2017-12-31T14:23:51,2017-12-31T14:48:28,6,870,16.65,10.51,4.55,5.01,SAO93936,HD 96310,0.8,1.049
2872,Gentelec,2872gentelec_irtf_spex.csv,2019-01-21T10:46:14,2019-01-21T11:39:42,7,910,15.86,13.46,1.55,2.42,SAO120107,HD 246629,0.8,1.271
2893,Peiroos ,2893peiroos_irtf_spex.csv,2017-12-31T12:26:13,2017-12-31T12:51:36,6,900,16.84,7.9,4.74,5.43,SAO93936,SAO81232,0.8,1.077
3248,Farinella,3248farinella_irtf_spex.csv,2018-08-20T13:05:31,2018-08-20T13:26:44,6,720,14.63,5.77,1.74,2.72,SAO93936,HD 216592,0.8,1.41
3283,Skorina,3283skorina_irtf_spex.csv,2017-12-31T10:34:24,2017-12-31T10:59:01,9,1305,16.67,13.6,1.7,2.55,SAO93936,SAO80875,0.8,1.24
4744,Rovereto ,4744rovereto_irtf_spex.csv,2019-01-21T12:07:42,2019-01-21T12:30:36,8,960,15.1,6.76,1.44,2.4,SAO120107,SAO80655,0.8,1.015
