84,X,0.87,0.9,1.6,0.03,0.688,0.001,-999999,-999999,spectra/inner/klio/000084_vis.tab
142,B,-0.9,0.02,-1,-1,-1,-1,-999999,-999999,spectra/inner/polana/000142_vis.tab
225,B,-5.62,1.25,-1,-1,-1,-1,0.4979,0.001,spectra/cybele/000225_vis.tab
229,Xc,3.06,0.92,-1,-1,-1,-1,0.5242,0.0007,spectra/cybele/000229_vis.tab
302,C,0.7,0.8,-1,-1,-1,-1,-999999,-999999,spectra/inner/clarissa/000302_vis.tab
313,Cgh,0.75,0.9,2.4,0.02,0.7094,0.0003,-999999,-999999,spectra/inner/chaldaea/000313_vis.tab
329,C,1.49,0.9,-1,-1,-1,-1,-999999,-999999,spectra/inner/svea/000329_vis.tab
334,Xc,2.87,1.23,-1,-1,-1,-1,0.5251,0.0011,spectra/hilda/000334_vis.tab
401,Cb,4.01,1.26,-1,-1,-1,-1,-1,-1,spectra/cybele/000401_vis.tab
495,Cb,0.61,0.02,-1,-1,-1,-1,-999999,-999999,spectra/inner/polana/000495_vis.tab
528,Cb,1.89,0.92,-1,-1,-1,-1,-1,-1,spectra/cybele/000528_vis.tab
561,Ch,0.3,0.02,-1,-1,-1,-1,0.5219,0.0029,spectra/outer/themis/000561_vis.tab
623,Xc,2.54,0.9,1.32,0.02,0.7231,0.0005,-999999,-999999,spectra/inner/chimaera/000623_vis.tab
752,X,2.6,0.8,1.65,0.01,0.7254,0.0006,-999999,-999999,spectra/inner/sulamitis/000752_vis.tab
752,X,1.6,0.8,2.04,0.19,0.739,0.005,-999999,-999999,spectra/inner/sulamitis/000752_vis.tab
790,X,2.77,0.42,-1,-1,-1,-1,-1,-1,spectra/cybele/000790_vis.tab
909,X,2.99,1.23,-1,-1,-1,-1,-1,-1,spectra/cybele/000909_vis.tab
940,Cgh,1.96,0.53,1.81,0.01,0.7004,0.0004,0.516,0.0006,spectra/cybele/000940_vis.tab
1144,D,11.85,0.6,-1,-1,-1,-1,-1,-1,spectra/hilda/001144_vis.tab
1177,X,2.89,0.92,-1,-1,-1,-1,-1,-1,spectra/cybele/001177_vis.tab
1183,Ch,0.31,0.09,-1,-1,-1,-1,-999999,-999999,spectra/inner/polana/001183_vis.tab
1209,X,2.81,0.02,-1,-1,-1,-1,-1,-1,spectra/outer/hygiea/001209_vis.tab
1269,D,9.08,0.53,-1,-1,-1,-1,-1,-1,spectra/hilda/001269_vis.tab
1280,C,1.55,0.42,-1,-1,-1,-1,0.5339,0.001,spectra/cybele/001280_vis.tab
1386,Cgh,1.38,0.9,3.67,0.03,0.7089,0.0006,-999999,-999999,spectra/inner/chaldaea/001386_vis.tab
1439,X,3.33,0.93,-1,-1,-1,-1,-1,-1,spectra/hilda/001439_vis.tab
1674,C,2.06,0.03,-1,-1,-1,-1,-1,-1,spectra/outer/themis/001674_vis.tab
1768,B,-0.96,0.04,-1,-1,-1,-1,-999999,-999999,spectra/inner/polana/001768_vis.tab
1782,B,-2.66,0.02,-1,-1,-1,-1,0.5013,0.0016,spectra/outer/themis/001782_vis.tab
1902,X,2.76,0.92,-1,-1,-1,-1,-1,-1,spectra/hilda/001902_vis.tab
1923,X,3.7,0.8,-1,-1,-1,-1,-999999,-999999,spectra/inner/sulamitis/001923_vis.tab
2081,Ch,0.6,0.12,-1,-1,-1,-1,-999999,-999999,spectra/inner/polana/002081_vis.tab
2279,B,-1.25,0.02,-1,-1,-1,-1,-999999,-999999,spectra/inner/polana/002279_vis.tab
2534,C,1.34,0.03,-1,-1,-1,-1,0.5241,0.0042,spectra/outer/themis/002534_vis.tab
2563,B,-3.9,0.02,2.994,0.075,0.6804,0.0028,-1,-1,spectra/outer/themis/002563_vis.tab
2642,D,8.56,0.9,-1,-1,-1,-1,-999999,-999999,spectra/inner/chimaera/002642_vis.tab
2794,D,7.62,0.9,-1,-1,-1,-1,-999999,-999999,spectra/inner/klio/002794_vis.tab
2918,B,-2.23,0.02,1.444,0.055,0.6963,0.0044,0.4977,0.0012,spectra/outer/themis/002918_vis.tab
