wave,refl,refl_err
0.8289,1.0504,
0.8533,1.0666,
0.8776,1.0573,
0.9021,1.0672,
0.9265,1.0819,
0.951,1.0761,
0.9755,1.0923,
1.0001,1.0933,
1.0247,1.0859,
1.0493,1.0876,
1.074,1.0849,
1.0987,1.0937,
1.1234,1.0924,
1.1482,1.0867,
1.173,1.0801,
1.1978,1.0787,
1.2227,1.0882,
1.2476,1.0889,
1.2726,1.0791,
1.2976,1.0782,
1.3226,1.0759,
1.3476,,
1.3727,,
1.3978,,
1.423,,
1.4482,1.072,
1.4734,1.069,
1.4987,1.0838,
1.524,1.0864,
1.549,1.094,
1.5747,1.0748,
1.6001,1.0762,
1.491,1.0793,
1.552,1.0734,
1.615,1.0851,
1.675,1.0782,
1.735,,
1.795,,
1.853,,
1.913,,
1.97,1.0738,
2.028,1.0712,
2.084,1.061,
2.14,1.0718,
2.196,1.0639,
2.252,1.0601,
2.306,1.0634,
2.361,1.094,
2.414,1.0518,
2.466,1.0669,
2.519,,
2.57,,
