wave,refl,refl_err
0.8289,1.1758,0.0261
0.8533,1.2327,0.0289
0.8776,1.1642,0.0755
0.9021,1.024,0.0504
0.9265,0.9766,0.0232
0.951,0.9704,0.0331
0.9755,1.0322,0.0233
1.0001,1.0813,0.0246
1.0247,1.0717,0.0148
1.0493,1.1009,0.0355
1.074,1.1111,0.0381
1.0987,1.0767,0.0245
1.1234,1.1716,0.0218
1.1482,1.1558,0.052
1.173,1.2321,0.0316
1.1978,1.2415,0.0294
1.2227,1.2885,0.0506
1.2476,1.247,0.0139
1.2726,1.2957,0.0219
1.2976,1.1696,0.0387
1.3226,1.3137,0.0428
1.3476,1.2792,0.0269
1.3727,1.3246,0.0819
1.3978,1.4647,0.123
1.423,1.3074,0.0335
1.4482,1.4419,0.0624
1.4734,1.463,0.0197
1.4987,1.4332,0.0307
1.524,1.406,0.0448
1.549,1.3503,0.0194
1.5747,1.4056,0.0331
1.6001,1.4049,0.02
1.491,1.3734,0.0571
1.552,1.4,
1.615,1.3899,0.0019
1.675,1.374,0.0073
1.735,1.3398,0.0014
1.795,1.3301,0.0108
1.853,1.2562,0.024
1.913,1.3039,0.02
1.97,1.3125,0.014
2.028,1.3237,0.0059
2.084,1.3789,0.0365
2.14,1.386,0.0012
2.196,1.3979,0.0297
2.252,1.3441,0.0444
2.306,1.3405,0.034
2.361,1.3647,0.0224
2.414,1.3461,0.0032
2.466,,
2.519,,
2.57,,
