wave,refl,refl_err
0.8289,1.2292,0.0732
0.8533,,
0.8776,1.3146,0.0552
0.9021,1.2014,0.0688
0.9265,1.2505,0.0445
0.951,1.3039,0.0847
0.9755,1.419,0.0477
1.0001,1.3034,0.0137
1.0247,1.3355,0.0339
1.0493,1.3732,0.0427
1.074,1.406,0.045
1.0987,1.3751,0.0684
1.1234,1.3339,0.0192
1.1482,1.388,0.0213
1.173,1.2896,0.0752
1.1978,1.36,0.0279
1.2227,1.3868,0.0296
1.2476,1.4225,0.0507
1.2726,1.3476,0.0816
1.2976,1.3432,0.0403
1.3226,1.4109,0.1026
1.3476,,
1.3727,,
1.3978,,
1.423,,
1.4482,1.3684,0.0402
1.4734,1.3238,0.0696
1.4987,1.3895,0.0656
1.524,1.3804,0.0808
1.549,1.427,0.047
1.5747,1.3586,0.0537
1.6001,1.4435,0.0635
1.491,1.3925,0.0293
1.552,1.3628,0.041
1.615,1.4294,0.0275
1.675,1.3881,0.0078
1.735,1.3888,0.0374
1.795,1.3599,0.0697
1.853,1.381,0.0058
1.913,1.3527,0.0045
1.97,1.4,0.038
2.028,1.4657,0.043
2.084,1.4211,0.0096
2.14,1.4617,0.0028
2.196,1.4746,0.0351
2.252,1.5812,0.0164
2.306,1.4254,0.033
2.361,1.3625,0.0511
2.414,1.3413,0.1123
2.466,1.465,0.0457
2.519,,
2.57,,
