wave,refl,refl_err
0.8289,1.1891,0.0091
0.8533,1.1695,0.0012
0.8776,1.1649,0.0007
0.9021,1.1466,0.0027
0.9265,,
0.951,,
0.9755,,
1.0001,1.1994,0.0
1.0247,1.2263,0.0014
1.0493,1.2398,0.005
1.074,1.2535,0.0051
1.0987,1.2612,0.0002
1.1234,,
1.1482,,
1.173,,
1.1978,,
1.2227,1.3347,0.0043
1.2476,1.3393,0.0014
1.2726,1.3558,0.0038
1.2976,1.3691,0.0027
1.3226,1.3554,0.005
1.3476,1.3542,0.0143
1.3727,,
1.3978,,
1.423,,
1.4482,1.3499,0.0133
1.4734,1.3709,0.0222
1.4987,1.3823,0.0099
1.524,1.4151,0.0011
1.549,1.4083,0.0023
1.5747,1.3984,0.0072
1.6001,1.3899,0.0006
1.491,1.4025,0.0026
1.552,1.3978,0.0015
1.615,1.3962,0.0031
1.675,1.3913,0.0002
1.735,1.3682,0.0025
1.795,1.3521,0.0025
1.853,1.3406,0.0033
1.913,1.3391,0.003
1.97,1.3462,0.0065
2.028,1.3639,0.0043
2.084,1.3756,0.0025
2.14,1.386,0.007
2.196,1.394,0.0032
2.252,1.4055,0.0052
2.306,1.4073,0.0062
2.361,1.4113,0.0037
2.414,1.417,0.0151
2.466,1.4174,0.0137
2.519,1.4301,0.0065
2.57,1.4245,0.0574
