wave,refl,refl_err
0.8289,1.0498,0.0203
0.8533,1.0374,0.0207
0.8776,1.0148,0.014
0.9021,1.0221,0.019
0.9265,0.9954,0.0076
0.951,1.0215,0.003
0.9755,1.0414,0.0036
1.0001,1.0765,0.002
1.0247,1.106,0.0047
1.0493,1.1019,0.0134
1.074,1.1297,0.0076
1.0987,1.1342,0.0049
1.1234,1.1577,0.0087
1.1482,1.1552,0.0099
1.173,1.1811,0.0163
1.1978,1.1859,0.0056
1.2227,1.1813,0.0059
1.2476,1.2004,0.01
1.2726,1.1944,0.0038
1.2976,1.2105,0.0055
1.3226,1.2114,0.0038
1.3476,1.2028,0.0035
1.3727,,
1.3978,,
1.423,,
1.4482,,
1.4734,1.2208,0.0072
1.4987,1.2477,0.0078
1.524,1.2414,0.0025
1.549,1.2617,0.0082
1.5747,1.2435,0.004
1.6001,1.2399,0.0025
1.491,1.2459,0.0052
1.552,1.2412,0.0009
1.615,1.2358,0.0036
1.675,1.2108,0.0004
1.735,1.2077,0.003
1.795,1.1952,0.0037
1.853,1.2073,0.0114
1.913,1.1997,0.0048
1.97,1.1939,0.0125
2.028,1.2069,0.0005
2.084,1.2138,0.0032
2.14,1.2114,0.0045
2.196,1.2165,0.0006
2.252,1.2253,0.0036
2.306,1.2397,0.0137
2.361,1.2354,0.0193
2.414,1.2636,0.0206
2.466,,
2.519,,
2.57,,
