wave,refl,refl_err
0.8289,1.1535,0.0066
0.8533,1.1354,0.0064
0.8776,1.1212,0.0064
0.9021,1.1098,0.0057
0.9265,1.0997,0.0056
0.951,1.1016,0.0039
0.9755,1.1107,0.0046
1.0001,1.1222,0.0051
1.0247,1.1336,0.005
1.0493,1.1407,0.0046
1.074,1.1512,0.0052
1.0987,1.1638,0.0046
1.1234,1.1851,0.0038
1.1482,1.2123,0.0043
1.173,1.2303,0.0055
1.1978,1.2437,0.0055
1.2227,1.2554,0.0051
1.2476,1.2669,0.0053
1.2726,1.28,0.0036
1.2976,1.2909,0.0025
1.3226,1.3006,0.0034
1.3476,1.309,0.0041
1.3727,1.3137,0.0098
1.3978,1.3228,0.0137
1.423,1.34,0.0111
1.4482,1.3542,0.0061
1.4734,1.3659,0.0022
1.4987,1.3777,0.0026
1.524,1.384,0.0011
1.549,1.3879,0.0011
1.5747,1.3844,0.0008
1.6001,1.3811,0.0014
1.491,1.3821,0.0013
1.552,1.3838,0.0011
1.615,1.3831,0.0007
1.675,1.3747,0.0048
1.735,1.3641,0.0018
1.795,1.3531,0.0038
1.853,1.3542,0.0119
1.913,1.3493,0.0121
1.97,1.3507,0.0048
2.028,1.3604,0.0052
2.084,1.3714,0.0039
2.14,1.3795,0.0033
2.196,1.3887,0.0041
2.252,1.4028,0.0046
2.306,1.4098,0.0054
2.361,1.4169,0.0067
2.414,1.4255,0.0079
2.466,1.4314,0.012
2.519,1.4351,0.0163
2.57,1.4506,0.0237
