wave,refl,refl_err
0.8289,1.1394,
0.8533,1.1264,
0.8776,1.0975,
0.9021,1.0849,
0.9265,1.084,
0.951,1.0751,
0.9755,1.0977,
1.0001,1.1336,
1.0247,1.1466,
1.0493,1.1465,
1.074,1.1595,
1.0987,1.175,
1.1234,1.1779,
1.1482,1.1967,
1.173,1.2269,
1.1978,1.2364,
1.2227,1.2447,
1.2476,1.2607,
1.2726,1.268,
1.2976,1.2883,
1.3226,1.2718,
1.3476,1.2828,
1.3727,,
1.3978,,
1.423,,
1.4482,,
1.4734,1.3167,
1.4987,1.3408,
1.524,1.3509,
1.549,1.3696,
1.5747,1.3647,
1.6001,1.373,
1.491,,
1.552,1.3536,
1.615,1.3516,
1.675,1.3287,
1.735,1.3246,
1.795,,
1.853,,
1.913,,
1.97,,
2.028,1.3267,
2.084,1.3404,
2.14,1.3524,
2.196,1.3805,
2.252,1.3742,
2.306,1.3948,
2.361,1.3822,
2.414,1.4081,
2.466,1.3932,
2.519,1.3694,
2.57,1.4022,
