wave,refl,refl_err
0.8289,1.218,0.0162
0.8533,1.1679,0.0167
0.8776,1.2599,0.0166
0.9021,1.2761,0.0199
0.9265,1.2402,0.02
0.951,1.2475,0.0062
0.9755,1.2385,0.0006
1.0001,1.2153,0.0259
1.0247,1.2538,0.0113
1.0493,1.2643,0.0087
1.074,1.2647,0.0092
1.0987,1.2853,0.0183
1.1234,1.266,0.0262
1.1482,1.2923,0.0223
1.173,1.2753,0.0334
1.1978,1.285,0.009
1.2227,1.2912,0.0191
1.2476,1.2981,0.0334
1.2726,1.2945,0.0398
1.2976,1.3443,0.0363
1.3226,1.3008,0.0356
1.3476,1.3216,0.0151
1.3727,1.3231,0.021
1.3978,1.3526,0.0195
1.423,,
1.4482,,
1.4734,1.3733,0.0729
1.4987,1.3894,0.0233
1.524,1.3467,0.0469
1.549,1.4304,0.0159
1.5747,1.3434,0.0281
1.6001,1.4041,0.051
1.491,,
1.552,1.3446,0.0001
1.615,1.3377,0.0165
1.675,1.3858,0.0243
1.735,1.3882,0.0341
1.795,1.4147,0.0123
1.853,1.3717,0.0036
1.913,1.3892,0.0144
1.97,1.3848,0.0358
2.028,1.4395,0.0161
2.084,1.4754,0.016
2.14,1.4703,0.0371
2.196,1.4693,0.04
2.252,1.4888,0.0184
2.306,1.5155,0.0445
2.361,1.4706,0.0151
2.414,1.5094,0.0095
2.466,1.6065,0.0107
2.519,1.4967,0.012
2.57,,
