wave,refl,refl_err
0.8289,,
0.8533,,
0.8776,1.2826,0.0191
0.9021,1.2951,0.0124
0.9265,1.2946,0.0077
0.951,1.2932,0.0052
0.9755,1.2932,0.0025
1.0001,1.2914,0.0104
1.0247,1.3054,0.0017
1.0493,1.3018,0.006
1.074,1.2892,0.0047
1.0987,1.302,0.004
1.1234,1.3242,0.012
1.1482,1.3236,0.0168
1.173,1.326,0.0076
1.1978,1.3372,0.0109
1.2227,1.3489,0.0049
1.2476,1.3677,0.0058
1.2726,1.3658,0.0162
1.2976,1.3591,0.0143
1.3226,1.3635,0.0036
1.3476,1.3436,0.0147
1.3727,1.3839,0.009
1.3978,1.3618,0.0115
1.423,1.3923,0.0268
1.4482,1.3934,0.0123
1.4734,1.4093,0.0227
1.4987,1.4013,0.0077
1.524,1.4119,0.0029
1.549,1.4133,0.0021
1.5747,1.42,0.0063
1.6001,1.4028,0.0116
1.491,1.4128,0.0041
1.552,1.3994,0.0067
1.615,1.4031,0.0003
1.675,1.4016,0.0008
1.735,1.3902,0.003
1.795,1.3615,0.0052
1.853,1.3453,0.0145
1.913,1.3423,0.007
1.97,1.3481,0.002
2.028,1.3502,0.0059
2.084,1.3492,0.0102
2.14,1.3475,0.0003
2.196,1.3555,0.0104
2.252,1.3729,0.012
2.306,1.3762,0.0067
2.361,1.3751,0.0009
2.414,1.3935,0.0189
2.466,1.3934,0.0109
2.519,1.4172,0.0152
2.57,,
