wave,refl,refl_err
0.8289,1.0611,0.0018
0.8533,1.0471,0.0096
0.8776,1.0544,0.0105
0.9021,1.061,0.0022
0.9265,1.0429,0.0242
0.951,1.0488,0.0176
0.9755,1.042,0.0162
1.0001,1.0595,0.0113
1.0247,1.0683,0.0067
1.0493,1.0654,0.0033
1.074,1.0528,0.0023
1.0987,1.0531,0.0127
1.1234,1.0509,0.0137
1.1482,1.0603,0.0002
1.173,1.0484,0.0013
1.1978,1.0547,0.0136
1.2227,1.0581,0.0139
1.2476,1.0598,0.0121
1.2726,1.0635,0.0106
1.2976,1.0733,0.0124
1.3226,1.0776,0.0097
1.3476,1.0898,0.0044
1.3727,1.0853,0.0111
1.3978,1.0962,0.0101
1.423,1.0972,0.007
1.4482,1.103,0.0052
1.4734,1.0933,0.0105
1.4987,1.1095,0.0033
1.524,1.1228,0.0014
1.549,1.1297,0.005
1.5747,1.1274,0.0004
1.6001,1.1487,0.0007
1.491,1.1221,0.0012
1.552,1.1234,0.0014
1.615,1.134,0.0002
1.675,,
1.735,,
1.795,,
1.853,,
1.913,,
1.97,,
2.028,1.1907,0.0185
2.084,1.1997,0.0248
2.14,1.2142,0.0193
2.196,1.2186,0.0168
2.252,1.22,0.0172
2.306,1.2252,0.0203
2.361,1.2147,0.0191
2.414,1.2237,0.017
2.466,1.225,0.0132
2.519,,
2.57,,
