wave,refl,refl_err
0.8289,1.1034,0.0112
0.8533,1.0946,0.0032
0.8776,1.0613,0.0007
0.9021,1.0524,0.0053
0.9265,1.0727,0.0163
0.951,1.067,0.0089
0.9755,1.0842,0.0269
1.0001,1.1282,0.0095
1.0247,1.1348,0.0079
1.0493,1.1423,0.0126
1.074,1.1392,0.0302
1.0987,1.1666,0.0076
1.1234,1.1927,0.0067
1.1482,1.2011,0.0061
1.173,1.2208,0.0044
1.1978,1.2375,0.0173
1.2227,1.2395,0.0031
1.2476,1.2407,0.0134
1.2726,1.2262,0.0093
1.2976,1.2624,0.0059
1.3226,1.2826,0.0116
1.3476,1.2814,0.0091
1.3727,1.2713,0.0026
1.3978,,0.0489
1.423,,0.0299
1.4482,1.3024,0.0112
1.4734,1.293,0.0119
1.4987,1.3016,0.0056
1.524,1.3041,0.0011
1.549,1.2947,0.0123
1.5747,1.3018,0.0105
1.6001,1.273,0.012
1.491,1.3041,0.0
1.552,1.3005,0.001
1.615,1.2804,0.0007
1.675,1.2617,0.0034
1.735,1.2375,0.006
1.795,1.214,0.0025
1.853,1.1932,0.0041
1.913,1.2033,0.0039
1.97,1.2143,0.0084
2.028,1.2232,0.0071
2.084,1.2315,0.0117
2.14,1.245,0.0033
2.196,1.2578,0.0033
2.252,1.2505,0.0051
2.306,1.2579,0.0012
2.361,1.2655,0.0149
2.414,1.2635,0.0111
2.466,1.2465,0.0105
2.519,,0.0212
2.57,,0.0948
