wave,refl,refl_err
0.8289,0.9801,0.0039
0.8533,0.9877,0.0135
0.8776,0.985,0.0202
0.9021,0.9712,0.0063
0.9265,1.0019,0.0093
0.951,1.0059,0.0212
0.9755,0.9714,0.0035
1.0001,1.0,0.002
1.0247,1.0017,0.0095
1.0493,0.996,0.0011
1.074,0.9925,0.0024
1.0987,1.0087,0.0013
1.1234,0.968,0.0058
1.1482,0.993,0.0185
1.173,1.0036,0.0105
1.1978,1.0106,0.0027
1.2227,0.9926,0.0084
1.2476,1.0218,0.0149
1.2726,1.0144,0.0131
1.2976,1.0255,0.0028
1.3226,1.0132,0.0124
1.3476,1.0136,0.0118
1.3727,1.0233,0.0269
1.3978,1.0106,0.0124
1.423,1.0357,0.0134
1.4482,1.015,0.0102
1.4734,1.0516,0.0072
1.4987,1.0266,0.0129
1.524,1.0352,0.0095
1.549,1.0571,0.0022
1.5747,1.0597,0.0079
1.6001,1.0715,0.0162
1.491,1.0413,0.0043
1.552,1.0496,0.0055
1.615,1.0591,0.0027
1.675,1.068,0.0073
1.735,1.0819,0.0038
1.795,1.0837,0.0063
1.853,1.0854,0.0019
1.913,1.1214,0.006
1.97,1.122,0.0077
2.028,1.1539,0.0017
2.084,1.1705,0.0015
2.14,1.1956,0.0016
2.196,1.1964,0.0146
2.252,1.2033,0.0091
2.306,1.2203,0.0077
2.361,1.2621,0.006
2.414,1.2839,0.0014
2.466,1.2024,0.0266
2.519,1.2681,0.0097
2.57,,
