wave,refl,refl_err
0.8289,1.1136,0.0353
0.8533,1.1273,0.0389
0.8776,1.1516,0.0192
0.9021,1.1544,0.0406
0.9265,1.1497,0.0286
0.951,1.1748,0.0317
0.9755,1.1804,0.0309
1.0001,1.2191,0.0241
1.0247,1.2437,0.0278
1.0493,1.2348,0.0282
1.074,1.2557,0.034
1.0987,1.2585,0.0295
1.1234,1.2454,0.0294
1.1482,1.2615,0.0131
1.173,1.2792,0.0357
1.1978,1.2653,0.0145
1.2227,1.2698,0.0144
1.2476,1.2637,0.0124
1.2726,1.2956,0.0056
1.2976,1.2868,0.0083
1.3226,1.2743,0.0181
1.3476,1.2971,0.024
1.3727,1.322,0.0304
1.3978,1.3304,0.0266
1.423,1.3133,0.0159
1.4482,1.3159,0.0025
1.4734,1.3113,0.0053
1.4987,1.3305,0.0071
1.524,1.3314,0.0073
1.549,1.3363,0.001
1.5747,1.3442,0.0027
1.6001,1.3328,0.0109
1.491,1.3359,
1.552,1.3236,
1.615,1.3322,
1.675,1.3396,
1.735,1.3415,
1.795,1.3502,
1.853,1.3548,
1.913,1.366,
1.97,1.376,
2.028,1.3778,
2.084,1.3911,
2.14,1.3952,
2.196,1.3953,
2.252,1.3937,
2.306,1.4074,
2.361,1.4188,
2.414,1.4462,
2.466,1.4422,
2.519,1.4569,
2.57,1.4223,
