wave,refl,refl_err
0.8289,1.3404,0.0088
0.8533,1.3552,0.0032
0.8776,1.3797,0.009
0.9021,1.3924,0.0026
0.9265,,
0.951,1.4184,0.0084
0.9755,1.434,0.006
1.0001,1.4309,0.0075
1.0247,1.4554,0.0101
1.0493,1.4487,0.0101
1.074,1.456,0.016
1.0987,1.4456,0.0068
1.1234,1.4749,0.0099
1.1482,1.4756,0.0024
1.173,1.5197,0.0221
1.1978,1.5198,0.009
1.2227,1.5353,0.0115
1.2476,1.5662,0.0129
1.2726,1.5424,0.0033
1.2976,1.5775,0.0097
1.3226,1.593,0.0119
1.3476,1.5954,0.0079
1.3727,1.5811,0.0044
1.3978,1.5912,0.0387
1.423,1.5943,0.0467
1.4482,1.6179,0.0162
1.4734,1.648,0.0252
1.4987,1.6338,0.0263
1.524,1.655,0.0239
1.549,1.6576,0.0161
1.5747,1.6905,0.0108
1.6001,1.6884,0.0227
1.491,1.6685,0.0024
1.552,1.6723,0.0032
1.615,1.6823,0.001
1.675,1.6716,0.0062
1.735,1.6661,0.007
1.795,1.6599,0.002
1.853,1.6432,0.0122
1.913,1.6243,0.02
1.97,1.5963,0.0178
2.028,1.602,0.0098
2.084,1.5989,0.0002
2.14,1.5947,0.0025
2.196,1.5907,0.0005
2.252,1.5904,0.0096
2.306,1.6058,0.0035
2.361,1.6205,0.0032
2.414,1.6096,0.0155
2.466,1.5996,0.0089
2.519,1.6128,0.0049
2.57,,
