wave,refl,refl_err
0.8289,1.1871,0.0211
0.8533,1.2076,0.0763
0.8776,1.15,0.0665
0.9021,1.1819,0.0356
0.9265,1.1815,0.0303
0.951,1.2526,0.0405
0.9755,1.2167,0.0187
1.0001,1.2689,0.018
1.0247,1.2336,0.0129
1.0493,1.2273,0.0183
1.074,1.2319,0.022
1.0987,1.2732,0.008
1.1234,1.2675,0.0191
1.1482,1.2953,0.0263
1.173,1.3527,0.0097
1.1978,1.3697,0.028
1.2227,1.437,0.0235
1.2476,1.3784,0.0317
1.2726,1.3924,0.0159
1.2976,1.4066,0.0092
1.3226,1.4128,0.012
1.3476,1.4521,0.033
1.3727,1.4281,0.0384
1.3978,1.4663,0.0271
1.423,1.4789,0.0333
1.4482,1.5533,0.0293
1.4734,1.4887,0.0137
1.4987,1.5226,0.0182
1.524,1.5038,0.0194
1.549,1.5073,0.0187
1.5747,1.4845,0.0178
1.6001,1.4891,0.0138
1.491,1.5061,0.0018
1.552,1.4903,0.005
1.615,1.4771,0.0049
1.675,1.462,0.0026
1.735,1.4493,0.0049
1.795,1.3972,0.0067
1.853,1.4149,0.0161
1.913,1.41,0.0351
1.97,1.4037,0.0
2.028,1.4534,0.0954
2.084,1.4505,0.0188
2.14,1.4302,0.0105
2.196,1.4709,0.002
2.252,1.4316,0.0024
2.306,1.4268,0.0523
2.361,1.4668,0.0286
2.414,1.5148,0.0373
2.466,1.4361,0.0311
2.519,1.42,0.0521
2.57,,
