wave,refl,refl_err
0.8289,1.1749,0.0175
0.8533,1.1299,0.0204
0.8776,1.0898,0.0049
0.9021,1.0777,0.0147
0.9265,1.1057,0.0022
0.951,1.1183,0.0038
0.9755,1.1369,0.0049
1.0001,1.1771,0.0036
1.0247,1.2002,0.0101
1.0493,1.2137,0.0116
1.074,1.2502,0.0046
1.0987,1.2776,0.0166
1.1234,1.3017,0.003
1.1482,1.3128,0.0147
1.173,1.3382,0.0063
1.1978,1.3552,0.0038
1.2227,1.3443,0.0333
1.2476,1.3674,0.0133
1.2726,1.3565,0.0178
1.2976,1.3555,0.0186
1.3226,1.3851,0.0084
1.3476,1.4047,0.0097
1.3727,1.3749,0.0044
1.3978,1.3826,0.0322
1.423,1.4133,0.0083
1.4482,1.4308,0.0066
1.4734,1.3958,0.0068
1.4987,1.4228,0.0004
1.524,1.4282,0.0064
1.549,1.4007,0.0079
1.5747,1.3967,0.0157
1.6001,1.4019,0.0047
1.491,1.416,0.0006
1.552,1.4186,0.0003
1.615,1.3954,0.0044
1.675,1.3666,0.0113
1.735,1.3385,0.0017
1.795,1.3234,0.0005
1.853,1.2789,0.0202
1.913,1.2955,0.006
1.97,1.2975,0.0117
2.028,1.3112,0.0022
2.084,1.3265,0.018
2.14,1.3391,0.0013
2.196,1.3454,0.0045
2.252,1.3388,0.0232
2.306,1.3485,0.0009
2.361,1.365,0.0016
2.414,1.3479,0.0117
2.466,1.363,0.0115
2.519,,
2.57,,
