wave,refl,refl_err
0.8289,1.1291,0.0132
0.8533,1.1066,0.0099
0.8776,1.0946,0.0067
0.9021,1.0666,0.0162
0.9265,1.0657,0.0161
0.951,1.061,0.0086
0.9755,1.0593,0.0075
1.0001,1.0639,0.0099
1.0247,1.091,0.0088
1.0493,1.1071,0.0019
1.074,1.1068,0.0087
1.0987,1.1359,0.0087
1.1234,1.1614,0.0091
1.1482,1.1859,0.0075
1.173,1.2236,0.0197
1.1978,,
1.2227,1.2731,0.0072
1.2476,1.2996,0.0047
1.2726,1.3034,0.0055
1.2976,1.337,0.0028
1.3226,1.3314,0.017
1.3476,1.3743,0.0128
1.3727,1.4102,0.0144
1.3978,1.4112,0.0098
1.423,1.4627,0.0049
1.4482,,
1.4734,1.5067,0.0241
1.4987,1.5059,0.0161
1.524,1.5372,0.0035
1.549,1.5326,0.0037
1.5747,1.5502,0.0029
1.6001,1.5484,0.0036
1.491,1.4956,0.003
1.552,1.5745,0.0033
1.615,1.56,0.0063
1.675,1.5593,0.0007
1.735,1.5631,0.0035
1.795,1.5527,0.0013
1.853,1.5011,0.0058
1.913,1.4852,0.0061
1.97,1.4758,0.02
2.028,1.538,0.0266
2.084,1.5499,0.0009
2.14,1.5828,0.0077
2.196,1.6423,0.0036
2.252,1.6799,0.0045
2.306,1.6962,0.0125
2.361,,
2.414,1.7193,0.0106
2.466,1.7312,0.0013
2.519,1.7346,0.0092
2.57,,
