wave,refl,refl_err
0.8289,1.1287,0.0006
0.8533,1.1169,0.0083
0.8776,1.1084,0.0132
0.9021,1.1027,0.0011
0.9265,1.0816,0.0038
0.951,1.0768,0.0109
0.9755,1.079,0.0059
1.0001,1.1011,0.0083
1.0247,1.1112,0.0058
1.0493,1.1281,0.0014
1.074,1.1365,0.0027
1.0987,1.1488,0.0022
1.1234,1.1617,0.0047
1.1482,1.18,0.0086
1.173,1.2206,0.0008
1.1978,1.2301,0.0054
1.2227,1.2446,0.0016
1.2476,1.256,0.0097
1.2726,1.278,0.0027
1.2976,1.2879,0.0003
1.3226,1.3094,0.0071
1.3476,1.3092,0.0001
1.3727,,
1.3978,,
1.423,,
1.4482,,
1.4734,1.4035,0.006
1.4987,1.3952,0.026
1.524,1.3948,0.0027
1.549,1.4156,0.0108
1.5747,1.4211,0.0071
1.6001,1.4284,0.0017
1.491,1.4054,0.0051
1.552,1.4221,0.0139
1.615,1.4237,0.0148
1.675,1.4233,0.0094
1.735,1.4075,0.0091
1.795,,
1.853,,
1.913,,
1.97,,
2.028,1.3893,0.0014
2.084,1.3971,0.0015
2.14,1.4065,0.0005
2.196,1.4124,0.0025
2.252,1.4185,0.0019
2.306,1.4246,0.0041
2.361,1.4214,0.005
2.414,1.4209,0.0089
2.466,,
2.519,,
2.57,,
