wave,refl,refl_err
0.8289,1.2287,0.0535
0.8533,1.2702,0.0545
0.8776,1.1195,0.029
0.9021,1.1269,0.0617
0.9265,1.1866,0.0548
0.951,1.171,0.0309
0.9755,1.198,0.0596
1.0001,1.1339,0.0412
1.0247,1.2621,0.0705
1.0493,1.1812,0.0404
1.074,1.2272,0.0302
1.0987,1.3055,0.0232
1.1234,1.2677,0.0471
1.1482,1.3719,0.0108
1.173,1.4021,0.0328
1.1978,1.3325,0.0266
1.2227,1.3559,0.0302
1.2476,1.4599,0.021
1.2726,1.3846,0.037
1.2976,1.4182,0.0215
1.3226,1.4626,0.0396
1.3476,1.516,0.0232
1.3727,1.485,0.1051
1.3978,1.6787,0.1277
1.423,1.5805,0.0445
1.4482,1.521,0.0827
1.4734,1.5861,0.0735
1.4987,1.6566,0.0672
1.524,1.6508,0.0208
1.549,1.493,0.0425
1.5747,1.684,0.0483
1.6001,1.5686,0.0386
1.491,1.6159,0.0126
1.552,1.6676,0.0231
1.615,1.6366,0.0092
1.675,1.6343,0.0193
1.735,1.6078,0.0003
1.795,1.5852,0.0194
1.853,1.6344,0.036
1.913,1.6394,0.0144
1.97,1.5642,0.0429
2.028,1.5931,0.0292
2.084,1.579,0.0225
2.14,1.6089,0.0154
2.196,1.6554,0.0196
2.252,1.5986,0.013
2.306,1.6753,0.0646
2.361,1.6995,0.0327
2.414,1.7148,0.0678
2.466,1.7601,0.0282
2.519,,
2.57,,
