wave,refl,refl_err
0.8289,1.2583,0.0059
0.8533,1.2246,0.0115
0.8776,1.2237,0.0146
0.9021,1.2058,0.013
0.9265,1.2102,0.0105
0.951,1.2058,0.0157
0.9755,1.1931,0.0123
1.0001,1.2059,0.0094
1.0247,1.2295,0.0124
1.0493,1.2449,0.0082
1.074,1.2429,0.0048
1.0987,1.2903,0.012
1.1234,1.3114,0.006
1.1482,1.3369,0.0057
1.173,1.3763,0.0153
1.1978,1.4178,0.0201
1.2227,1.4374,0.0159
1.2476,1.4521,0.0187
1.2726,1.4724,0.0142
1.2976,1.4745,0.0177
1.3226,1.5077,0.0032
1.3476,1.544,0.006
1.3727,1.5834,0.0137
1.3978,1.5992,0.0344
1.423,,
1.4482,1.6326,0.0214
1.4734,1.6673,0.0167
1.4987,1.6848,0.0059
1.524,1.6956,0.0015
1.549,1.689,0.0093
1.5747,1.7144,0.0073
1.6001,1.7027,0.0125
1.491,1.6797,0.001
1.552,1.7141,0.007
1.615,1.7118,0.008
1.675,1.7085,0.0098
1.735,1.7013,0.0004
1.795,1.676,0.0016
1.853,1.6626,0.0133
1.913,1.6407,0.0215
1.97,1.6367,0.0175
2.028,1.6782,0.0081
2.084,1.691,0.0241
2.14,1.7276,0.0074
2.196,1.7563,0.0047
2.252,1.7781,0.0083
2.306,1.7986,0.0062
2.361,1.7794,0.0035
2.414,1.8197,0.0047
2.466,1.8313,0.0194
2.519,1.8705,0.0109
2.57,,
