wave,refl,refl_err
0.8289,,
0.8533,1.0966,0.0388
0.8776,1.071,0.0272
0.9021,1.1243,0.0296
0.9265,1.1098,0.0346
0.951,1.1356,0.0384
0.9755,1.1547,0.0469
1.0001,1.1355,0.0333
1.0247,1.1851,0.0376
1.0493,1.1741,0.0387
1.074,1.1516,0.0133
1.0987,1.1462,0.027
1.1234,1.1652,0.0406
1.1482,1.15,0.0492
1.173,1.2134,0.0246
1.1978,,
1.2227,1.2452,0.0429
1.2476,1.2563,0.0334
1.2726,1.2401,0.0438
1.2976,1.3021,0.0218
1.3226,1.2314,0.0558
1.3476,1.3141,0.0461
1.3727,1.2209,0.0584
1.3978,1.2618,0.0989
1.423,,
1.4482,1.2927,0.0652
1.4734,1.2742,0.1137
1.4987,1.3467,0.0585
1.524,1.37,0.0787
1.549,1.2712,0.025
1.5747,1.3504,0.0759
1.6001,1.3464,0.0746
1.491,1.3117,0.1907
1.552,1.3598,0.0346
1.615,1.2951,0.0123
1.675,1.3457,0.0209
1.735,1.3712,0.0198
1.795,1.3604,0.0223
1.853,,
1.913,,
1.97,1.4013,0.0454
2.028,1.3881,0.0015
2.084,1.3983,0.0357
2.14,1.4642,0.0152
2.196,1.3924,0.0334
2.252,1.4618,0.0301
2.306,1.4385,0.0077
2.361,1.4474,0.0366
2.414,1.4863,0.0394
2.466,,
2.519,,
2.57,,
