wave,refl,refl_err
0.8289,1.2178,0.0283
0.8533,1.152,0.029
0.8776,1.1398,0.0193
0.9021,1.1204,0.0122
0.9265,1.0997,0.0126
0.951,1.1145,0.0224
0.9755,1.1081,0.0183
1.0001,1.1394,0.0163
1.0247,1.1709,0.0172
1.0493,1.2077,0.0247
1.074,1.2167,0.0244
1.0987,1.2449,0.0232
1.1234,1.2674,0.0106
1.1482,1.292,0.0218
1.173,1.3049,0.0185
1.1978,1.3362,0.0373
1.2227,,
1.2476,1.3681,0.0188
1.2726,1.3719,0.0274
1.2976,1.3859,0.015
1.3226,1.4119,0.0198
1.3476,1.4153,0.0234
1.3727,1.4191,0.0468
1.3978,1.4323,0.0402
1.423,,
1.4482,,
1.4734,,
1.4987,1.4877,0.0288
1.524,1.4746,0.01
1.549,1.5025,0.0177
1.5747,1.5036,0.029
1.6001,1.5106,0.0286
1.491,1.4833,0.0112
1.552,1.5077,0.0125
1.615,1.5129,0.0076
1.675,1.5096,0.0128
1.735,1.5218,0.0181
1.795,1.4757,0.0154
1.853,1.4458,0.0235
1.913,1.4679,0.0311
1.97,1.4676,0.0344
2.028,1.4736,0.0298
2.084,1.4971,0.0249
2.14,1.512,0.0269
2.196,1.5397,0.0412
2.252,1.563,0.0325
2.306,1.5554,0.0558
2.361,1.5444,0.0346
2.414,1.5649,0.063
2.466,1.612,0.0528
2.519,,
2.57,,
