wave,refl,refl_err
0.8289,1.2288,0.101
0.8533,1.2733,0.1395
0.8776,1.371,0.16
0.9021,1.3262,0.0488
0.9265,1.2666,0.0683
0.951,1.2097,0.0462
0.9755,1.0887,0.046
1.0001,1.2269,0.0313
1.0247,1.0948,0.0565
1.0493,1.1272,0.0249
1.074,1.096,0.0297
1.0987,1.2007,0.0263
1.1234,1.1636,0.0408
1.1482,1.3365,0.0756
1.173,1.3286,0.0512
1.1978,1.463,0.094
1.2227,1.4536,0.0584
1.2476,1.4238,0.0222
1.2726,1.524,0.1015
1.2976,1.4607,0.0681
1.3226,1.5823,0.0818
1.3476,1.7012,0.0845
1.3727,,
1.3978,1.8353,0.0795
1.423,1.9268,0.1409
1.4482,1.9993,0.0667
1.4734,1.9745,0.0919
1.4987,2.2702,0.0716
1.524,2.1813,0.0452
1.549,2.3312,0.0661
1.5747,2.3629,0.0444
1.6001,,
1.491,2.2742,0.0799
1.552,2.3702,0.0101
1.615,2.3588,0.0134
1.675,2.3971,0.0178
1.735,,
1.795,,
1.853,,
1.913,,
1.97,,
2.028,2.3729,0.031
2.084,2.4543,0.0666
2.14,2.4475,0.0374
2.196,2.5105,0.0288
2.252,2.4667,0.0798
2.306,2.6586,0.0087
2.361,2.5215,0.0807
2.414,2.3574,0.012
2.466,,
2.519,,
2.57,,
