wave,refl,refl_err
0.8289,,
0.8533,1.2164,0.0047
0.8776,1.2142,0.0014
0.9021,1.1998,0.0026
0.9265,1.1994,0.002
0.951,1.1848,0.0103
0.9755,1.1519,0.0039
1.0001,1.138,0.0033
1.0247,1.1206,0.0048
1.0493,1.0972,0.0036
1.074,1.0894,0.0027
1.0987,1.0886,0.0023
1.1234,1.124,0.0067
1.1482,1.1319,0.0099
1.173,1.1973,0.0008
1.1978,1.2212,0.0074
1.2227,1.2353,0.0037
1.2476,1.2583,0.0093
1.2726,1.2722,0.0188
1.2976,1.3105,0.0004
1.3226,1.3327,0.0057
1.3476,1.3656,0.0035
1.3727,1.399,0.0038
1.3978,,
1.423,,
1.4482,,
1.4734,,
1.4987,1.5688,0.0026
1.524,1.6191,0.0047
1.549,1.6306,0.0016
1.5747,1.6749,0.0028
1.6001,1.667,0.0014
1.491,1.5945,
1.552,1.6516,
1.615,1.6779,
1.675,1.6928,
1.735,1.7059,
1.795,1.7055,
1.853,,
1.913,,
1.97,,
2.028,1.7124,
2.084,1.7235,
2.14,1.7535,
2.196,1.7653,
2.252,1.7753,
2.306,1.7833,
2.361,1.7906,
2.414,1.7879,
2.466,1.7967,
2.519,,
2.57,,
