wave,refl,refl_err
0.8289,1.02,0.0151
0.8533,0.9908,0.0011
0.8776,1.0265,0.0403
0.9021,0.9888,0.0088
0.9265,0.956,0.0024
0.951,0.9732,0.0027
0.9755,0.9515,0.031
1.0001,0.9896,0.0238
1.0247,0.9823,0.0095
1.0493,0.953,0.0379
1.074,0.9669,0.009
1.0987,0.9814,0.0307
1.1234,0.9703,0.0344
1.1482,0.9551,0.0045
1.173,1.0159,0.0317
1.1978,1.0072,0.0166
1.2227,0.9768,0.0155
1.2476,0.9833,0.0371
1.2726,0.995,0.0371
1.2976,1.0002,0.0197
1.3226,1.0218,0.013
1.3476,1.0585,0.0212
1.3727,1.0155,0.0368
1.3978,,
1.423,1.0735,0.0772
1.4482,1.0521,0.0328
1.4734,1.0822,0.0179
1.4987,1.0634,0.0195
1.524,1.053,0.0127
1.549,1.0557,0.0046
1.5747,1.0584,0.036
1.6001,1.0155,0.0238
1.491,1.0461,
1.552,1.0573,
1.615,1.0438,
1.675,1.0598,
1.735,1.0636,
1.795,1.0568,
1.853,1.0034,
1.913,1.0124,
1.97,1.0469,
2.028,1.006,
2.084,1.0259,
2.14,1.0486,
2.196,1.0231,
2.252,1.0246,
2.306,1.0616,
2.361,1.0744,
2.414,1.0206,
2.466,0.9881,
2.519,,
2.57,,
