wave,refl,refl_err
0.8289,1.19,0.0168
0.8533,1.1695,0.0144
0.8776,1.1502,0.0161
0.9021,1.1464,0.015
0.9265,1.1325,0.017
0.951,1.1293,0.0158
0.9755,1.1301,0.0142
1.0001,1.1326,0.0106
1.0247,1.1386,0.0101
1.0493,1.137,0.0118
1.074,1.1481,0.0092
1.0987,1.166,0.0108
1.1234,1.1998,0.0102
1.1482,1.2301,0.0071
1.173,1.2533,0.0081
1.1978,1.2674,0.0078
1.2227,1.2935,0.008
1.2476,1.2975,0.0135
1.2726,1.3151,0.0108
1.2976,1.3313,0.0091
1.3226,1.3432,0.01
1.3476,1.3461,0.0126
1.3727,1.3722,0.0089
1.3978,1.3909,0.0183
1.423,1.4021,0.0119
1.4482,1.4252,0.0061
1.4734,1.4458,0.0047
1.4987,1.4559,0.0044
1.524,1.4681,0.0051
1.549,1.4782,0.004
1.5747,1.4724,0.009
1.6001,1.4831,0.0032
1.491,,
1.552,1.4767,0.0023
1.615,1.4743,0.0023
1.675,1.4783,0.0025
1.735,1.4582,0.0051
1.795,1.443,0.0058
1.853,,
1.913,,
1.97,1.4306,0.0079
2.028,1.4344,0.0046
2.084,1.4493,0.0031
2.14,1.4551,0.0021
2.196,1.4656,0.0045
2.252,1.4706,0.0015
2.306,1.4865,0.0055
2.361,1.4819,0.0043
2.414,1.4993,0.0082
2.466,1.5107,0.0088
2.519,,
2.57,,
