wave,refl,refl_err
0.8289,1.2982,0.0609
0.8533,1.2816,0.2154
0.8776,1.0945,0.0862
0.9021,1.2161,0.1217
0.9265,1.1053,0.0726
0.951,1.3993,0.1672
0.9755,0.9982,0.0803
1.0001,1.4185,0.0928
1.0247,1.456,0.0676
1.0493,1.3298,0.1453
1.074,1.3062,0.0998
1.0987,1.3447,0.108
1.1234,1.3595,0.0407
1.1482,1.3356,0.056
1.173,1.2547,0.1035
1.1978,1.2244,0.0653
1.2227,1.2913,0.0925
1.2476,1.3197,0.0477
1.2726,1.3839,0.0327
1.2976,1.3971,0.084
1.3226,1.5321,0.1717
1.3476,1.6721,0.2695
1.3727,1.8015,0.4294
1.3978,1.3457,0.5775
1.423,1.6641,0.1899
1.4482,1.454,0.2123
1.4734,1.3006,0.1115
1.4987,1.3313,0.2343
1.524,1.4931,0.0213
1.549,1.4544,0.0861
1.5747,1.5358,0.1394
1.6001,1.5775,0.176
1.491,1.4944,0.0812
1.552,1.4881,0.1175
1.615,1.4527,0.0085
1.675,1.4912,0.0616
1.735,1.5155,0.0042
1.795,1.6139,0.0033
1.853,1.4974,0.1403
1.913,1.5479,0.0622
1.97,1.4726,0.0469
2.028,1.6223,0.016
2.084,1.6069,0.0634
2.14,1.6362,0.0061
2.196,1.672,0.049
2.252,1.7834,0.0313
2.306,1.6801,0.047
2.361,1.6872,0.0066
2.414,1.8474,0.0412
2.466,,
2.519,,
2.57,,
