wave,refl,refl_err
0.8289,1.1858,
0.8533,1.1483,
0.8776,1.1453,
0.9021,1.1266,
0.9265,1.1032,
0.951,1.0991,
0.9755,1.1241,
1.0001,1.1363,
1.0247,1.1522,
1.0493,1.148,
1.074,1.1694,
1.0987,1.1803,
1.1234,1.212,
1.1482,1.2455,
1.173,1.2755,
1.1978,1.2617,
1.2227,1.2802,
1.2476,1.2869,
1.2726,1.2842,
1.2976,1.306,
1.3226,1.3284,
1.3476,1.3375,
1.3727,1.3558,
1.3978,1.3496,
1.423,1.3986,
1.4482,1.4126,
1.4734,1.4417,
1.4987,1.4212,
1.524,1.4492,
1.549,1.4738,
1.5747,1.4528,
1.6001,1.4519,
1.491,1.4588,
1.552,1.452,
1.615,1.4509,
1.675,1.4302,
1.735,1.4099,
1.795,1.3723,
1.853,1.3386,
1.913,1.3355,
1.97,1.3614,
2.028,1.3891,
2.084,1.4012,
2.14,1.4235,
2.196,1.437,
2.252,1.4368,
2.306,1.4475,
2.361,1.4565,
2.414,1.4653,
2.466,1.4682,
2.519,1.4426,
2.57,,
