wave,refl,refl_err
0.8289,,
0.8533,,
0.8776,1.1488,0.0349
0.9021,1.1528,0.0377
0.9265,1.1193,0.0188
0.951,1.1074,0.0289
0.9755,1.0708,0.0163
1.0001,1.0371,0.0135
1.0247,1.0132,0.0129
1.0493,1.0001,0.016
1.074,1.004,0.0162
1.0987,1.0514,0.01
1.1234,1.0778,0.0123
1.1482,1.1433,0.0144
1.173,1.1628,0.0123
1.1978,1.2152,0.0148
1.2227,1.2061,0.0073
1.2476,1.258,0.0226
1.2726,1.2542,0.0159
1.2976,1.2987,0.0102
1.3226,1.3695,0.027
1.3476,1.4446,0.0211
1.3727,1.4995,0.0119
1.3978,,
1.423,,
1.4482,,
1.4734,1.7114,0.0138
1.4987,1.8005,0.0107
1.524,1.8613,0.0135
1.549,1.9392,0.0073
1.5747,1.9544,0.0176
1.6001,,
1.491,,
1.552,1.9271,0.004
1.615,1.9432,0.004
1.675,1.9691,0.0084
1.735,1.9916,0.0055
1.795,1.9811,0.0099
1.853,1.9593,0.006
1.913,1.9196,0.0229
1.97,1.8857,0.0063
2.028,1.892,0.0355
2.084,1.8973,0.0132
2.14,1.9285,0.0068
2.196,1.9132,0.0094
2.252,1.9042,0.0045
2.306,1.9474,0.0194
2.361,1.9389,0.0265
2.414,1.9339,0.0017
2.466,,
2.519,,
2.57,,
