wave,refl,refl_err
0.8289,1.1887,0.0099
0.8533,1.1695,0.0071
0.8776,1.1316,0.0071
0.9021,1.1173,0.0191
0.9265,1.1184,0.0008
0.951,1.1165,0.0092
0.9755,1.1253,0.0062
1.0001,1.1528,0.0007
1.0247,1.1955,0.0006
1.0493,1.2092,0.0003
1.074,1.2262,0.0119
1.0987,1.2416,0.0026
1.1234,1.2549,0.0173
1.1482,1.272,0.0018
1.173,1.2712,0.0071
1.1978,1.2711,0.0055
1.2227,1.3031,0.0295
1.2476,1.2973,0.0205
1.2726,1.3235,0.0125
1.2976,1.309,0.0227
1.3226,1.368,0.018
1.3476,1.3733,0.004
1.3727,1.3875,0.0171
1.3978,,
1.423,,
1.4482,,
1.4734,,
1.4987,1.3921,0.0141
1.524,1.4157,0.0065
1.549,1.3945,0.0093
1.5747,1.4287,0.0095
1.6001,1.4007,0.0003
1.491,,
1.552,1.4099,0.0082
1.615,1.3952,0.0051
1.675,1.394,0.0106
1.735,1.3848,0.0013
1.795,1.3667,0.0009
1.853,,
1.913,,
1.97,1.3518,0.0035
2.028,1.3391,0.0034
2.084,1.3487,0.0014
2.14,1.3494,0.0062
2.196,1.347,0.0013
2.252,1.37,0.0133
2.306,1.401,0.0119
2.361,1.3698,0.0078
2.414,1.3891,0.0117
2.466,,
2.519,,
2.57,,
