wave,refl,refl_err
0.8289,,
0.8533,,
0.8776,1.0106,0.0324
0.9021,0.9862,0.0475
0.9265,0.9879,0.0179
0.951,1.036,0.0157
0.9755,0.994,0.022
1.0001,1.0014,0.0275
1.0247,1.0017,0.006
1.0493,0.9877,0.0184
1.074,0.9808,0.018
1.0987,0.9809,0.0108
1.1234,0.9807,0.0246
1.1482,0.9741,0.0106
1.173,0.9611,0.0292
1.1978,0.9945,0.0269
1.2227,0.9839,0.0182
1.2476,0.9914,0.0414
1.2726,1.0001,0.0171
1.2976,0.9759,0.0216
1.3226,0.9589,0.015
1.3476,,
1.3727,,
1.3978,,
1.423,,
1.4482,,
1.4734,1.0063,0.0132
1.4987,0.9966,0.013
1.524,0.9765,0.0095
1.549,0.9785,0.0245
1.5747,0.9785,0.0158
1.6001,1.0191,0.0036
1.491,0.9953,0.0074
1.552,0.9885,0.0037
1.615,0.976,0.0035
1.675,1.0041,0.0117
1.735,0.9935,0.0204
1.795,,
1.853,,
1.913,,
1.97,,
2.028,1.0334,0.0034
2.084,1.0454,0.0034
2.14,1.077,0.005
2.196,1.0539,0.0019
2.252,1.0509,0.003
2.306,1.0689,0.0026
2.361,1.1323,0.043
2.414,1.0691,0.0089
2.466,,
2.519,,
2.57,,
