wave,refl,refl_err
0.8289,1.0465,0.0241
0.8533,1.0632,0.033
0.8776,1.048,0.0296
0.9021,1.0287,0.0305
0.9265,1.021,0.0377
0.951,1.0269,0.0339
0.9755,1.0668,0.0123
1.0001,1.0426,0.0134
1.0247,1.0643,0.0234
1.0493,1.0901,0.0172
1.074,1.1159,0.0193
1.0987,1.0833,0.0338
1.1234,1.1582,0.0197
1.1482,1.2163,0.0131
1.173,1.1916,0.0356
1.1978,1.1992,0.0291
1.2227,1.1948,0.0351
1.2476,1.2525,0.0285
1.2726,1.2332,0.0192
1.2976,1.3107,0.014
1.3226,1.2775,0.0344
1.3476,1.3079,0.0392
1.3727,1.3508,0.0871
1.3978,1.3362,0.0552
1.423,1.3669,0.0431
1.4482,1.3542,0.0329
1.4734,1.4039,0.0229
1.4987,1.3915,0.0219
1.524,1.4163,0.0304
1.549,1.4049,0.0074
1.5747,1.3993,0.0181
1.6001,1.3882,0.0312
1.491,1.3843,0.0016
1.552,1.4117,0.0109
1.615,1.404,0.0175
1.675,1.3657,0.0086
1.735,1.3557,0.0009
1.795,1.3757,0.0216
1.853,1.3198,0.0086
1.913,1.3514,0.0098
1.97,1.3273,0.0037
2.028,1.3201,0.0042
2.084,1.3436,0.0055
2.14,1.3376,0.0042
2.196,1.3803,0.0004
2.252,1.3873,0.0138
2.306,1.3952,0.0085
2.361,1.3734,0.0217
2.414,1.4128,0.0525
2.466,1.3935,0.0522
2.519,,
2.57,,
