wave,refl,refl_err
0.8289,1.2348,0.0076
0.8533,1.2358,0.0029
0.8776,1.2301,0.0032
0.9021,1.2238,0.0027
0.9265,1.2144,0.0004
0.951,1.221,0.0021
0.9755,1.2244,0.0008
1.0001,1.2217,0.0029
1.0247,1.2221,0.0018
1.0493,1.2267,0.0042
1.074,1.2265,0.0009
1.0987,1.2426,0.0031
1.1234,1.2561,0.0004
1.1482,1.2768,0.0058
1.173,1.2974,0.0064
1.1978,1.3197,0.0007
1.2227,1.3241,0.001
1.2476,1.3313,0.0005
1.2726,1.343,0.0123
1.2976,1.3568,0.0019
1.3226,1.3685,0.0078
1.3476,1.3895,0.0031
1.3727,1.4,0.001
1.3978,,
1.423,,
1.4482,,
1.4734,1.4697,0.0017
1.4987,1.4623,0.0021
1.524,1.4628,0.004
1.549,1.4683,0.0059
1.5747,1.4599,0.0038
1.6001,1.4669,0.007
1.491,,
1.552,1.4657,0.0047
1.615,1.4651,0.0076
1.675,1.4613,0.0016
1.735,1.4566,0.0037
1.795,1.4603,0.0012
1.853,,
1.913,,
1.97,,
2.028,1.4332,0.0006
2.084,1.4394,0.0023
2.14,1.4501,0.0033
2.196,1.4571,0.0012
2.252,1.4665,0.0025
2.306,1.4703,0.0011
2.361,1.4794,0.0008
2.414,1.4878,0.0001
2.466,1.5008,0.0087
2.519,,
2.57,,
